playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Pluie & Mélancolie (500 titres),1,2,2307286,"Mama, I'm Coming Home",Ozzy Osbourne,No More Tears,251
Pluie & Mélancolie (500 titres),1,2,2009269,"Mama, I’M Coming Home",Ozzy Osbourne,No More Tears,251
Pluie & Mélancolie (500 titres),2,2,2124219,Set Fire to the Rain,Adele,Unknown Album,241
Pluie & Mélancolie (500 titres),2,2,2197721,Set Fire to the Rain,Adele,Greatest Hits,241
Pluie & Mélancolie (500 titres),3,3,1282499,Storm (interlude),KSHMR,Harmonica Andromeda (deluxe),39
Pluie & Mélancolie (500 titres),3,3,1282512,Storm (interlude),KSHMR,Harmonica Andromeda (deluxe),39
Pluie & Mélancolie (500 titres),3,3,1423995,Storm (interlude),KSHMR,Harmonica Andromeda,39
Pluie & Mélancolie (500 titres),4,2,2256393,Belgium In The Rain,hooverphonic,Hidden Stories,187
Pluie & Mélancolie (500 titres),4,2,2312616,Belgium in the Rain,hooverphonic,Hidden Stories,187
Pluie & Mélancolie (500 titres),5,3,1878532,Beyond the Sea,Bobby Caldwell,Come Rain or Come Shine,207
Pluie & Mélancolie (500 titres),5,3,2320935,Beyond the Sea,Bobby Caldwell,Come Rain or Come Shine,55
Pluie & Mélancolie (500 titres),5,3,2320936,Beyond the Sea,Bobby Caldwell,Come Rain or Come Shine,55
Pluie & Mélancolie (500 titres),6,2,2213480,COUNTRY MAN,Buddy Guy,Feels Like Rain,377
Pluie & Mélancolie (500 titres),6,2,2197639,Country Man,Buddy Guy,Feels Like Rain,377
Pluie & Mélancolie (500 titres),7,3,2114126,Calm After the Storm,The Common Linnets,The Common Linnets,188
Pluie & Mélancolie (500 titres),7,3,2278989,Calm After the Storm,The Common Linnets,The Common Linnets,188
Pluie & Mélancolie (500 titres),7,3,2278990,Calm After the Storm,The Common Linnets,The Common Linnets,188
Pluie & Mélancolie (500 titres),8,6,2060509,Calm Inside the Storm,Cyndi Lauper,Maybe He'll Know Ep,237
Pluie & Mélancolie (500 titres),8,6,2080468,Calm Inside the Storm,Cyndi Lauper,True Colors: the Best of Cyndi Lauper [CD2],236
Pluie & Mélancolie (500 titres),8,6,2183811,Calm Inside the Storm,Cyndi Lauper,True Colors: The Best of Cyndi Lauper,236
Pluie & Mélancolie (500 titres),8,6,2183688,Calm Inside The Storm,Cyndi Lauper,Maybe He'll Know [Netherlands 12'' Maxi-Single (Prt 650988 6)],237
Pluie & Mélancolie (500 titres),8,6,1958159,Calm Inside the Storm,Cyndi Lauper,Maybe He'll Know [Netherlands 12'' Maxi-Single (Prt 650988 6)],237
Pluie & Mélancolie (500 titres),8,6,2306240,Calm Inside the Storm,Cyndi Lauper,True Colors,234
Pluie & Mélancolie (500 titres),9,2,2068311,Every Little Thing I Do (re-recorded / remastered),Soul for Real,Candy Rain - Greatest Hits,261
Pluie & Mélancolie (500 titres),9,2,2068309,Every Little Thing I Do (re‐recorded / remastered),Soul for Real,Candy Rain - Greatest Hits,261
Pluie & Mélancolie (500 titres),10,2,1940877,Put Out The Light,JOE COCKER,I Can Stand A Little Rain,253
Pluie & Mélancolie (500 titres),10,2,1941445,Put Out the Light,JOE COCKER,I Can Stand a Little Rain,253
Pluie & Mélancolie (500 titres),11,2,2047782,Rain on Me,Lady Gaga,Chromatica,184
Pluie & Mélancolie (500 titres),11,2,2184251,Rain on Me,Lady Gaga,Chromatica,184
Pluie & Mélancolie (500 titres),12,2,2197634,Stop the Rain,Average White Band,FEEL NO FRET,271
Pluie & Mélancolie (500 titres),12,2,2290261,Stop the Rain,Average White Band,Feel No Fret...and More,271
Pluie & Mélancolie (500 titres),13,2,2236452,WHEN THE RAIN BEGINS TO FALL,Various Artists,VOYAGE OF THE ROCK ALIENS,243
Pluie & Mélancolie (500 titres),13,2,2180957,When the Rain Begins to Fall,Various Artists,Voyage of the Rock Aliens,243
Pluie & Mélancolie (500 titres),14,3,2203519,WHO'LL STOP THE RAIN,Creedence Clearwater Revival,CHRONICLE: THE 20 GREATEST HITS (REMASTERED 2023 / HI RES),147
Pluie & Mélancolie (500 titres),14,3,2197504,Who'll Stop the Rain,Creedence Clearwater Revival,Chronicle: the 20 Greatest Hits (Remastered 2023 / Hi Res),147
Pluie & Mélancolie (500 titres),14,3,1241384,Who’ll Stop the Rain,Creedence Clearwater Revival,Cosmo’s Factory,149
Pluie & Mélancolie (500 titres),15,2,1969235,(I've Got The) World on a String,Bobby Caldwell,Come Rain Or Come Shine,123
Pluie & Mélancolie (500 titres),15,2,2197514,(I've Got The) World on a String,Bobby Caldwell,Come Rain Or Come Shine,123
Pluie & Mélancolie (500 titres),16,2,1969233,(I've Got You) Under My Skin,Bobby Caldwell,Come Rain Or Come Shine,208
Pluie & Mélancolie (500 titres),16,2,2197515,(I've Got You) Under My Skin,Bobby Caldwell,Come Rain Or Come Shine,208
Pluie & Mélancolie (500 titres),17,2,2197647,1 of a Kind,1,Free Rain ⁄ 1 of A Kind (Single),213
Pluie & Mélancolie (500 titres),17,2,2341497,1 of a Kind,1,free rain ⁄ 1 of a kind (single),213
Pluie & Mélancolie (500 titres),18,3,1218021,11 Silver,Ozzy Osbourne,Black Rain,222
Pluie & Mélancolie (500 titres),18,3,2320898,11 Silver,Ozzy Osbourne,Black Rain,222
Pluie & Mélancolie (500 titres),18,3,2320899,11 Silver,Ozzy Osbourne,Black Rain,222
Pluie & Mélancolie (500 titres),19,2,1970966,A Hard Rain's A-Gonna Fall,Jimmy Cliff,Sacred Fire,377
Pluie & Mélancolie (500 titres),19,2,2236370,A Hard Rain's a - Gonna Fall,Jimmy Cliff,Sacred Fire,377
Pluie & Mélancolie (500 titres),20,2,2074093,A Hard Rain's A-Gonna Fall,Bryan Ferry,The Collection,321
Pluie & Mélancolie (500 titres),20,2,2236398,A Hard Rain's A-Gonna Fall,Bryan Ferry,The Collection,321
Pluie & Mélancolie (500 titres),21,2,2221748,A Thunder Battle,Howard Shore,Music From The Hobbit & The Lord of the Rings,218
Pluie & Mélancolie (500 titres),21,2,2318921,A Thunder Battle,Howard Shore,Music From The Hobbit & The Lord of the Rings,218
Pluie & Mélancolie (500 titres),22,3,2133664,ALLIIGATOR TEARS,Beyoncé,Cowboy Carter,179
Pluie & Mélancolie (500 titres),22,3,2242261,ALLIIGATOR TEARS,Beyoncé,COWBOY CARTER,179
Pluie & Mélancolie (500 titres),22,3,2329296,Alliigator Tears,Beyoncé,Act II: Cowboy Carter,2
Pluie & Mélancolie (500 titres),23,3,1246718,Acid Rain,Avenged Sevenfold,Hail to the King,396
Pluie & Mélancolie (500 titres),23,3,2320875,Acid Rain,Avenged Sevenfold,[Unknown Album],396
Pluie & Mélancolie (500 titres),23,3,2320876,Acid Rain,Avenged Sevenfold,[Unknown Album],396
Pluie & Mélancolie (500 titres),24,2,1981928,African Rain,DJ Quicksilver,Quicksilver,303
Pluie & Mélancolie (500 titres),24,2,2236364,African Rain,DJ Quicksilver,Quicksilver,303
