playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Pluie du soir (41 titres),1,3,1484873,Heaven On My Mind (Acoustic),Becky Hill,Heaven On My Mind (Acoustic),192
Pluie du soir (41 titres),1,3,1935853,Heaven On My Mind (Acoustic),Becky Hill,Heaven On My Mind (Acoustic),192
Pluie du soir (41 titres),1,3,2183945,Heaven On My Mind (Acoustic),Becky Hill,Heaven On My Mind (Acoustic),192
Pluie du soir (41 titres),2,2,1942375,Jaded (ambient mix),Deadmau5,Jaded EP,250
Pluie du soir (41 titres),2,2,2131675,Jaded (ambient mix),Deadmau5,Jaded EP,250
Pluie du soir (41 titres),3,3,2027659,"Pousse Au Milieu Des Cactus, Ma Rancœur",KHEOPS,Sad Hill,322
Pluie du soir (41 titres),3,3,1960321,"Pousse au milieu des cactus, ma rancœur",KHEOPS,Sad Hill,322
Pluie du soir (41 titres),3,3,2213830,"POUSSE AU MILIEU DES CACTUS, MA RANCŒUR",KHEOPS,SAD HILL,322
Pluie du soir (41 titres),4,8,2065958,Nel blu dipinto di blu ⁄ Dans le bleu du ciel bleu (acoustic version),Claudio Capéo,Penso a te,237
Pluie du soir (41 titres),4,8,2023837,Nel Blu Dipinto Di Blu ⧸ Dans le Bleu Du Ciel Bleu (Acoustic Version),Claudio Capéo,Penso A Te (L'ultimo),237
Pluie du soir (41 titres),4,8,1271600,Nel Blu Dipinto Di Blu / Dans Le Bleu Du Ciel Bleu (Acoustic Version),Claudio Capéo,Penso A Te (L'ultimo),237
Pluie du soir (41 titres),4,8,1995504,Nel Blu Dipinto Di Blu / Dans Le Bleu Du Ciel Bleu (Acoustic Version),Claudio Capéo,Unknown Album,237
Pluie du soir (41 titres),4,8,2112782,Nel Blu Dipinto Di Blu / Dans Le Bleu Du Ciel Bleu (Acoustic Version),Claudio Capéo,Penso a te,237
Pluie du soir (41 titres),4,8,2132108,Nel Blu Dipinto Di Blu / Dans Le Bleu Du Ciel Bleu (Acoustic Version),Claudio Capéo,Penso a te,237
Pluie du soir (41 titres),4,8,2112000,Nel blu dipinto di blu / Dans le bleu du ciel bleu (acoustic version),Claudio Capéo,Penso a te,237
Pluie du soir (41 titres),4,8,2184026,Nel blu dipinto di blu / Dans le bleu du ciel bleu (acoustic version),Claudio Capéo,Penso a te,237
Pluie du soir (41 titres),5,3,2058907,Blue Paper,Moby,Hotel : Ambient,367
Pluie du soir (41 titres),5,3,2198550,Blue Paper,Moby,Hotel : Ambient,367
Pluie du soir (41 titres),5,3,2236964,Blue Paper,Moby,Hotel : Ambient,367
Pluie du soir (41 titres),6,3,2129310,Someone Like You (live acoustic),Adele,Someone Like You,304
Pluie du soir (41 titres),6,3,2184035,Someone Like You (live acoustic),Adele,Someone Like You,304
Pluie du soir (41 titres),6,3,2252104,Someone Like You (live acoustic),Adele,Someone Like You,304
Pluie du soir (41 titres),7,2,1207700,Talons (Acoustic),Bloc Party,Intimacy (Deluxe Version),272
Pluie du soir (41 titres),7,2,2183966,Talons (acoustic),Bloc Party,Intimacy,272
Pluie du soir (41 titres),8,2,1346693,Never Enough,TWO LANES,Never Enough/Lights (piano versions),272
Pluie du soir (41 titres),8,2,2184010,Never Enough,TWO LANES,Never Enough/Lights (piano versions),272
Pluie du soir (41 titres),9,3,2197721,Set Fire to the Rain,Adele,Greatest Hits,241
Pluie du soir (41 titres),9,3,2124219,Set Fire to the Rain,Adele,Unknown Album,241
Pluie du soir (41 titres),9,3,2197390,Set Fire to the Rain,Adele,Unknown Album,241
Pluie du soir (41 titres),10,2,2099243,Crocodile Rock,Elton John,Don’t Shoot Me I’m Only the Piano Player,232
Pluie du soir (41 titres),10,2,2164903,Crocodile Rock,Elton John,Don’t Shoot Me I’m Only the Piano Player,232
Pluie du soir (41 titres),11,2,2128464,Rain feat. Tay Keith,Aitch,Rain,183
Pluie du soir (41 titres),11,2,2197912,Rain feat. Tay Keith,Aitch,Rain,183
