playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Pool party (120 titres),1,2,2057011,NOT OK,5 Seconds Of Summer,EVERYONE’S A STAR!,206
Pool party (120 titres),1,2,2175134,NOT OK,5 Seconds Of Summer,EVERYONE’S A STAR!,206
Pool party (120 titres),2,2,2187835,MALA MUJER,C. Tangana,MALA MUJER,219
Pool party (120 titres),2,2,2308987,Mala Mujer,C. Tangana,Ídolo,219
Pool party (120 titres),3,2,2112499,Belle demoiselle,Various Artists,NRJ Summer Hits Only 2008,208
Pool party (120 titres),3,2,2336380,Belle demoiselle,Various Artists,NRJ Summer Hits Only 2008,208
Pool party (120 titres),4,2,1261128,Myth,Beach House,[standalone recordings],258
Pool party (120 titres),4,2,2067936,Myth,Beach House,Bloom,254
Pool party (120 titres),5,2,2267469,House Key,Scott Helman,Hôtel de Ville,205
Pool party (120 titres),5,2,2109167,House Key,Scott Helman,Hôtel de Ville,205
Pool party (120 titres),6,2,2004694,Sex & Drugs & House (Stage Edit),D-Devils,Dance With the Devil,221
Pool party (120 titres),6,2,2136515,Sex & Drugs & House (Stage edit),D-Devils,Dance with the Devil,221
Pool party (120 titres),7,2,1485219,Good Times,Chic,"Dance, Dance, Dance: The Best of Chic",230
Pool party (120 titres),7,2,2125582,Good Times,Chic,"Dance, Dance, Dance: The Best of Chic",230
Pool party (120 titres),8,2,1351002,Our Own House,MisterWives,Our Own House,232
Pool party (120 titres),8,2,1968437,Our Own House,MisterWives,Our Own House,232
Pool party (120 titres),9,2,2061237,Girls Ain't Nothing But Trouble (1988 Extended Remix),DJ Jazzy Jeff & the Fresh Prince,Rock the House,292
Pool party (120 titres),9,2,2307980,Girls Ain't Nothing But Trouble (1988 Extended Remix),DJ Jazzy Jeff & the Fresh Prince,Rock the House,289
Pool party (120 titres),10,2,2089305,We Like to Party,Showtek,We Like to Party,281
Pool party (120 titres),10,2,1213863,We Like to Party,Showtek,We Like to Party,281
Pool party (120 titres),11,2,2167848,LA VIDA ES UN CARNAVAL,Celia Cruz,MI VIDA ES CANTAR,275
Pool party (120 titres),11,2,2197192,La vida es un carnaval,Celia Cruz,MI VIDA ES CANTAR,275
Pool party (120 titres),12,2,2174389,CARALUNA,BACILOS,CARALUNA,266
Pool party (120 titres),12,2,2056719,Caraluna,BACILOS,CARALUNA,266
Pool party (120 titres),13,2,2121583,Jenny and the Summer Day,The Avett Brothers,Country Was;The_Avett_Brothers,260
Pool party (120 titres),13,2,1256209,Jenny and the Summer Day,The Avett Brothers,Country Was,260
Pool party (120 titres),14,2,2288953,CÓMO SE SIENTE (remix),Bad Bunny,LAS QUE NO IBAN A SALIR,227
Pool party (120 titres),14,2,2225113,Cómo Se Siente (Remix),Bad Bunny,Las Que No Iban A Salir,227
Pool party (120 titres),15,2,2101275,Friends Unknown,Donna Summer,Mistaken Identity,225
Pool party (120 titres),15,2,2273359,Friends Unknown,Donna Summer,Mistaken Identity,225
Pool party (120 titres),16,2,1969348,Brick House,Commodores,20th Century Masters: the Millennium Collection: the Best of the Commodores,225
Pool party (120 titres),16,2,1969424,Brick House,Commodores,The Very Best of the Commodores,215
Pool party (120 titres),17,2,2180046,Love Me Like You Mean It (country dance mix),Kelsea Ballerini,Love Me Like You Mean It (country dance mix),216
Pool party (120 titres),17,2,2214017,LOVE ME LIKE YOU MEAN IT (COUNTRY DANCE MIX),Kelsea Ballerini,LOVE ME LIKE YOU MEAN IT (COUNTRY DANCE MIX),216
