playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Printemps Frais (500 titres),1,9,2272633,Ce Matin Va Être Une Pure Soirée,Fatal Bazooka,Le Bestov de Fatal Bazooka,213
Printemps Frais (500 titres),1,9,2242388,Ce matin va être une pure soirée,Fatal Bazooka,Le Bestov de Fatal Bazooka,213
Printemps Frais (500 titres),1,9,2278697,Ce matin va être une pure soirée,Fatal Bazooka,Le Bestov de Fatal Bazooka,213
Printemps Frais (500 titres),1,9,2278698,Ce matin va être une pure soirée,Fatal Bazooka,Le Bestov de Fatal Bazooka,213
Printemps Frais (500 titres),1,9,2280403,Ce matin va être une pure soirée,Fatal Bazooka,Le Bestov de Fatal Bazooka,213
Printemps Frais (500 titres),1,9,2280404,Ce matin va être une pure soirée,Fatal Bazooka,Le Bestov de Fatal Bazooka,213
Printemps Frais (500 titres),1,9,2282831,Ce matin va être une pure soirée,Fatal Bazooka,Le Bestov de Fatal Bazooka,213
Printemps Frais (500 titres),1,9,2282832,Ce matin va être une pure soirée,Fatal Bazooka,Le Bestov de Fatal Bazooka,213
Printemps Frais (500 titres),1,9,2336261,Ce matin va être une pure soirée,Fatal Bazooka,Le Bestov de Fatal Bazooka,213
Printemps Frais (500 titres),2,2,2098442,Ce matin va être une pure soirée feat. Big Ali feat. PZK feat. Dogg Soso feat. Chris Prolls,Fatal Bazooka,Le Bestov de Fatal Bazooka,213
Printemps Frais (500 titres),2,2,2336263,Ce matin va être une pure soirée feat. Big Ali feat. PZK feat. Dogg Soso feat. Chris Prolls,Fatal Bazooka,Le Bestov de Fatal Bazooka,213
Printemps Frais (500 titres),3,3,2067988,How Can I Do,Anwar,Beautiful Sunrise,295
Printemps Frais (500 titres),3,3,2067990,How Can I Do,Anwar,Beautiful Sunrise,295
Printemps Frais (500 titres),3,3,2307723,How Can I Do,Anwar,Beautiful Sunrise,295
Printemps Frais (500 titres),4,2,1721208,Anywhere,Passenger,"Young As The Morning, Old As The Sea (Deluxe Version)",215
Printemps Frais (500 titres),4,2,2000667,Anywhere,Passenger,"Young as the Morning, Old as the Sea",215
Printemps Frais (500 titres),5,3,2308750,Armes de distraction massive,IAM,Revoir un printemps,254
Printemps Frais (500 titres),5,3,2340377,Armes de Distraction Massive,IAM,revoir un printemps,254
Printemps Frais (500 titres),5,3,2112608,Armes de distraction massive,IAM,Revoir un printemps,254
Printemps Frais (500 titres),6,4,2032061,Assedic: 3 Heures Du Matin,Akhenaton,Métèque Et Mat,68
Printemps Frais (500 titres),6,4,2281719,Assedic: 3 Heures Du Matin,Akhenaton,Métèque Et Mat,68
Printemps Frais (500 titres),6,4,2128418,Assedic: 3 heures du matin,Akhenaton,Unknown Album,68
Printemps Frais (500 titres),6,4,2290995,Assedic: 3 heures du matin,Akhenaton,Métèque et mat,68
Printemps Frais (500 titres),7,6,1909551,Good Morning Girl,Journey,Greatest Hits 2,103
Printemps Frais (500 titres),7,6,1962889,Good Morning Girl,Journey,Wheel in the Sky - Best,104
Printemps Frais (500 titres),7,6,1962935,Good Morning Girl,Journey,Ultimate Best (Greatest Hits I & II),103
Printemps Frais (500 titres),7,6,1962971,Good Morning Girl,Journey,The Ballade,102
Printemps Frais (500 titres),7,6,2107560,Good Morning Girl,Journey,Departure,103
Printemps Frais (500 titres),7,6,2164609,Good Morning Girl,Journey,Departure,103
Printemps Frais (500 titres),8,5,2084674,Hello Good Morning,Diddy - Dirty Money,Hello Good Morning,268
Printemps Frais (500 titres),8,5,2175894,Hello Good Morning,Diddy - Dirty Money,Last Train to Paris,267
Printemps Frais (500 titres),8,5,2216404,Hello Good Morning,Diddy - Dirty Money,Last Train to Paris,267
Printemps Frais (500 titres),8,5,2331124,Hello Good Morning,Diddy - Dirty Money,Last Train to Paris,267
Printemps Frais (500 titres),8,5,2351445,Hello Good Morning,Diddy - Dirty Money,last train to paris (deluxe),268
Printemps Frais (500 titres),9,2,2058720,No Idea,Mary J. Blige,Good Morning Gorgeous,136
Printemps Frais (500 titres),9,2,2172799,No Idea,Mary J. Blige,Good Morning Gorgeous,136
Printemps Frais (500 titres),10,2,2219333,Sunday Morning,Moodymann,The Silence Is Broken,342
Printemps Frais (500 titres),10,2,2240223,Sunday Morning,Moodymann,The Silence Is Broken,342
Printemps Frais (500 titres),11,2,1952953,Wave Your Flag,Various Artists,NRJ Fresh Hits 2017,191
Printemps Frais (500 titres),11,2,2116454,Wave Your Flag,Various Artists,NRJ Fresh Hits 2017,193
Printemps Frais (500 titres),12,2,2013313,Spring Girl,Adam Ten,Unknown Album,228
Printemps Frais (500 titres),12,2,2287613,Spring Girl,Adam Ten,Unknown Album,228
Printemps Frais (500 titres),13,2,2058455,11am,Incubus,Morning View,254
Printemps Frais (500 titres),13,2,2179105,11am,Incubus,Morning View,254
Printemps Frais (500 titres),14,4,2284555,14 Timbaland Feat. Nelly Furtado & Soshy - Morning After Dark,Hed Kandi,Audios,232
Printemps Frais (500 titres),14,4,2336547,14 Timbaland Feat. Nelly Furtado & Soshy - Morning After Dark,Hed Kandi,Audios,232
Printemps Frais (500 titres),14,4,2283065,14 Timbaland feat. Nelly Furtado & SoShy - Morning After Dark,Hed Kandi,Audios,232
Printemps Frais (500 titres),14,4,2283067,14 Timbaland feat. Nelly Furtado & SoShy - Morning After Dark,Hed Kandi,Audios,232
Printemps Frais (500 titres),15,4,2024741,21/04,IAM,Revoir Un Printemps,290
Printemps Frais (500 titres),15,4,2340375,21/04,IAM,revoir un printemps,290
Printemps Frais (500 titres),15,4,2340376,21⁄04,IAM,revoir un printemps,290
Printemps Frais (500 titres),15,4,2340373,21⧸04,IAM,Revoir Un Printemps,290
Printemps Frais (500 titres),16,2,1280224,6 in the Morning,D12,D12 World,275
Printemps Frais (500 titres),16,2,2136504,6 in the Morning,D12,Various Artists,170
Printemps Frais (500 titres),17,3,1347187,Acapulco Sunrise,Santana,Jam,150
Printemps Frais (500 titres),17,3,1347380,Acapulco Sunrise,Santana,High Profile,157
Printemps Frais (500 titres),17,3,2122395,Acapulco Sunrise,Santana,Acapulco Sunrise,688
Printemps Frais (500 titres),18,2,2197216,Act Two: Interlude III: Sunday Morning By The Beach,VARIOUS,Operas (Paul Bunyan • Peter Grimes • The Rape Of Lucretia • Billy Budd • The Turn Of The Screw • A Midsummer Night's Dream),148
Printemps Frais (500 titres),18,2,1945309,Act Two: Interlude Iii: Sunday Morning by the Beach,VARIOUS,Operas (Paul Bunyan • Peter Grimes • The Rape Of Lucretia • Billy Budd • The Turn Of The Screw • A Midsummer Night's Dream),148
Printemps Frais (500 titres),19,2,2102355,All Black,Good Charlotte,Good Morning Revival,259
Printemps Frais (500 titres),19,2,2311915,All Black,Good Charlotte,Good Morning Revival,259
Printemps Frais (500 titres),20,2,1975776,All of You,Bill Evans,You Must Believe in Spring,492
Printemps Frais (500 titres),20,2,2197342,All of You,Bill Evans,You Must Believe in Spring,492
Printemps Frais (500 titres),21,4,2307870,An Hour In the Shower: A Hard Risin' Morning Without Breakfast / Off to Work / Fallin' Out / Dreamin' Home / Morning Blues Again,Chicago,Chicago Presents the Innovative Guitar of Terry Kath,112
Printemps Frais (500 titres),21,4,2307871,An Hour In the Shower: A Hard Risin' Morning Without Breakfast / Off to Work / Fallin' Out / Dreamin' Home / Morning Blues Again,Chicago,Chicago Presents the Innovative Guitar of Terry Kath,49
Printemps Frais (500 titres),21,4,2307872,An Hour In the Shower: A Hard Risin' Morning Without Breakfast / Off to Work / Fallin' Out / Dreamin' Home / Morning Blues Again,Chicago,Chicago Presents the Innovative Guitar of Terry Kath,47
Printemps Frais (500 titres),21,4,2307873,An Hour In the Shower: A Hard Risin' Morning Without Breakfast / Off to Work / Fallin' Out / Dreamin' Home / Morning Blues Again,Chicago,Chicago Presents the Innovative Guitar of Terry Kath,68
Printemps Frais (500 titres),22,2,1286066,Another Broken Dream (Da Fresh Remix),Da Fresh,Broken Dream,433
Printemps Frais (500 titres),22,2,1867110,Another Broken Dream (Da Fresh Remix),Da Fresh,Another Broken Dream,433
Printemps Frais (500 titres),23,2,2172912,Another Travelin' Song,Bright Eyes,"I'm Wide Awake, It's Morning",256
Printemps Frais (500 titres),23,2,2120244,Another Travelin’ Song,Bright Eyes,"I'm Wide Awake, It's Morning",256
Printemps Frais (500 titres),24,2,2122507,Are You In?,Incubus,Morning View,264
Printemps Frais (500 titres),24,2,2310925,Are You in?,Incubus,Morning View,264
Printemps Frais (500 titres),25,7,1953237,As Long as You Love Me (Acoustic Version),Various Artists,Morning Chill,219
Printemps Frais (500 titres),25,7,1953235,As Long as You Love Me (acoustic version),Various Artists,Morning Chill,219
Printemps Frais (500 titres),25,7,1953236,As Long as You Love Me (acoustic version),Various Artists,Morning Chill,219
Printemps Frais (500 titres),25,7,2252044,As Long as You Love Me (acoustic version),Various Artists,Morning Chill,219
Printemps Frais (500 titres),25,7,2252045,As Long as You Love Me (acoustic version),Various Artists,Morning Chill,219
Printemps Frais (500 titres),25,7,2252046,As Long as You Love Me (acoustic version),Various Artists,Morning Chill,219
Printemps Frais (500 titres),25,7,2276162,As Long as You Love Me (acoustic version),Various Artists,Morning Chill,219
Printemps Frais (500 titres),26,34,2284566,As Long as You Love Me (Acoustic Version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2336977,As Long as You Love Me (Acoustic Version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2279248,As Long as You Love Me (acoustic version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2279250,As Long as You Love Me (acoustic version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2279252,As Long as You Love Me (acoustic version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2279254,As Long as You Love Me (acoustic version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2279256,As Long as You Love Me (acoustic version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2279258,As Long as You Love Me (acoustic version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2279260,As Long as You Love Me (acoustic version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2284198,As Long as You Love Me (acoustic version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2284200,As Long as You Love Me (acoustic version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2284202,As Long as You Love Me (acoustic version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2284204,As Long as You Love Me (acoustic version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2284206,As Long as You Love Me (acoustic version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2284208,As Long as You Love Me (acoustic version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2284210,As Long as You Love Me (acoustic version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2284212,As Long as You Love Me (acoustic version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2284214,As Long as You Love Me (acoustic version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2284216,As Long as You Love Me (acoustic version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2284218,As Long as You Love Me (acoustic version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2284220,As Long as You Love Me (acoustic version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2284222,As Long as You Love Me (acoustic version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2284224,As Long as You Love Me (acoustic version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2336973,As Long as You Love Me (acoustic version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2336975,As Long as You Love Me (acoustic version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2336979,As Long as You Love Me (acoustic version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2336981,As Long as You Love Me (acoustic version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2336983,As Long as You Love Me (acoustic version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2336985,As Long as You Love Me (acoustic version),Hed Kandi,Morning Chill,219
Printemps Frais (500 titres),26,34,2336987,As Long as You Love Me (acoustic version),Hed Kandi,Morning Chill,219
