playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Punk & Garage (199 titres),1,2,1199520,A Little Green Rosetta,Frank Zappa,Joe's Garage Acts II & III (vinyl rip),439
Punk & Garage (199 titres),1,2,2142845,A Little Green Rosetta,Frank Zappa,Joe's Garage Acts II & III (vinyl rip),439
Punk & Garage (199 titres),2,2,1199521,A Token of My Extreme,Frank Zappa,Joe's Garage Acts II & III (vinyl rip),329
Punk & Garage (199 titres),2,2,2142846,A Token of My Extreme,Frank Zappa,Joe's Garage Acts II & III (vinyl rip),329
Punk & Garage (199 titres),3,2,1296690,Ain't No Mountain High Enough (The Garage version Salsoul 1981),Inner Life Featuring Jocelyn B,Blast Presents Salsoul DJs Delight,629
Punk & Garage (199 titres),3,2,1426776,Ain't No Mountain High Enough (The Garage version Salsoul 1981),Inner Life Featuring Jocelyn B,Blast Presents Salsoul DJs Delight,629
Punk & Garage (199 titres),4,2,1953334,Ain't No Mountain High Enough (The Garage version),Various Artists,Journey Into Paradise: The Larry Levan Story,629
Punk & Garage (199 titres),4,2,2006145,Ain’T No Mountain High Enough (The Garage Version),Various Artists,Journey Into Paradise: the Larry Levan Story,629
Punk & Garage (199 titres),5,2,2170029,Daft Punk,Pentatonix,Ptx,246
Punk & Garage (199 titres),5,2,2173328,Daft Punk,Pentatonix,Ptx,246
Punk & Garage (199 titres),6,2,2056067,Dirty Punk,The Clash,Cut the Crap,189
Punk & Garage (199 titres),6,2,2170614,Dirty Punk,The Clash,Cut the Crap,189
Punk & Garage (199 titres),7,2,1199524,Dong Work for Yuda,Frank Zappa,Joe's Garage Acts II & III (vinyl rip),304
Punk & Garage (199 titres),7,2,2142847,Dong Work for Yuda,Frank Zappa,Joe's Garage Acts II & III (vinyl rip),304
Punk & Garage (199 titres),8,2,1346723,Fall,The Stone Roses,Garage Flower,169
Punk & Garage (199 titres),8,2,2197657,Fall,The Stone Roses,Garage Flower,169
Punk & Garage (199 titres),9,2,1199517,He Used to Cut the Grass,Frank Zappa,Joe's Garage Acts II & III (vinyl rip),514
Punk & Garage (199 titres),9,2,2142848,He Used to Cut the Grass,Frank Zappa,Joe's Garage Acts II & III (vinyl rip),514
Punk & Garage (199 titres),10,2,2090000,I Feel It Coming Feat. Daft Punk,The Weeknd,Virgin Radio Electro 2017,269
Punk & Garage (199 titres),10,2,2117365,I Feel It Coming feat. Daft Punk,The Weeknd,Starboy,269
Punk & Garage (199 titres),11,2,1285745,Let's Groove,EZ,Pure Garage: Rewind: Back to the Old School,128
Punk & Garage (199 titres),11,2,1285746,Let's Groove,EZ,Pure Garage: Rewind: Back to the Old School,128
Punk & Garage (199 titres),12,2,2178576,Man From Milwaukee (Garage Mix),Hanson,Middle of Nowhere,218
Punk & Garage (199 titres),12,2,2110663,Man From Milwaukee (Garage mix),Hanson,Middle of Nowhere,218
Punk & Garage (199 titres),13,2,1197297,Missing You (Agent X remix),Various Artists,100% Garage & Bassline,190
Punk & Garage (199 titres),13,2,1954391,Missing You (Agent X remix),Various Artists,100% Garage & Bassline,187
Punk & Garage (199 titres),14,2,1917848,More Than Physical (Garage Mix),Bananarama,True Confessions (Deluxe Edition) [Disc 2],526
Punk & Garage (199 titres),14,2,1975878,More Than Physical (Garage mix),Bananarama,The Twelve Inches of Bananarama,526
Punk & Garage (199 titres),15,2,1239635,Mothership Reconnection (Daft Punk Remix),Scott Grooves,Mothership Reconnection (Remix Album),240
Punk & Garage (199 titres),15,2,1936348,Mothership Reconnection (Daft Punk Remix),Scott Grooves,The Rush,30
Punk & Garage (199 titres),16,2,1247719,Mothership Reconnection (Daft Punk remix),HATIK,Millennium – Mega Top 100 – 19 Year 99 – Volume 1,240
Punk & Garage (199 titres),16,2,1297329,Mothership Reconnection (Daft Punk remix),HATIK,Club Sounds: 90’s Dance Classics,240
Punk & Garage (199 titres),17,2,1199526,Outside Now,Frank Zappa,Joe's Garage Acts II & III (vinyl rip),346
Punk & Garage (199 titres),17,2,2142849,Outside Now,Frank Zappa,Joe's Garage Acts II & III (vinyl rip),346
Punk & Garage (199 titres),18,4,1970107,PUNK ROCKY,A$AP Rocky,Don't Be Dumb,234
Punk & Garage (199 titres),18,4,1970118,PUNK ROCKY,A$AP Rocky,Don't Be Dumb,235
Punk & Garage (199 titres),18,4,2268394,PUNK ROCKY,A$AP Rocky,Don't Be Dumb,234
Punk & Garage (199 titres),18,4,2268403,PUNK ROCKY,A$AP Rocky,Don't Be Dumb,235
Punk & Garage (199 titres),19,2,1199518,Packard Goose,Frank Zappa,Joe's Garage Acts II & III (vinyl rip),692
Punk & Garage (199 titres),19,2,2142850,Packard Goose,Frank Zappa,Joe's Garage Acts II & III (vinyl rip),692
Punk & Garage (199 titres),20,2,2100743,Punk to Funk,Fatboy Slim,Better Living Through Chemistry,298
Punk & Garage (199 titres),20,2,2163081,Punk to Funk,Fatboy Slim,Better Living Through Chemistry,298
Punk & Garage (199 titres),21,2,2177257,Q19: What Affected Your Transition From Punk to Hip Hop?,Beastie Boys,Interview Thing Lisbon!,82
Punk & Garage (199 titres),21,2,2219961,Q19: What Affected Your Transition From Punk to Hip Hop?,Beastie Boys,Interview Thing Lisbon!,82
Punk & Garage (199 titres),22,2,2118129,Saturday Love (UK Garage Remix),Cherrelle & Alexander O'Neal,Saturday Love (UK Garage Remix)  (single),351
Punk & Garage (199 titres),22,2,2007224,Saturday Love (Uk Garage Remix),Cherrelle & Alexander O'neal,Saturday Love (Uk Garage Remix)  (Single),351
Punk & Garage (199 titres),23,2,2015882,Seven Nation Army ( Punk Klub mix ),Punk Division,Unknown Album,222
Punk & Garage (199 titres),23,2,1999350,Seven Nation Army (Punk Klub mix),Punk Division,Seven Nation Army,222
Punk & Garage (199 titres),24,4,1893694,Skate,Silk Sonic,An Evening With Silk Sonic,201
Punk & Garage (199 titres),24,4,1939755,Skate,Silk Sonic,An Evening With Silk Sonic  (Mp3),203
Punk & Garage (199 titres),24,4,2081137,Skate,Silk Sonic,An Evening With Silk Sonic,203
Punk & Garage (199 titres),24,4,2098693,Skate,Silk Sonic,Skate,203
Punk & Garage (199 titres),25,3,2177429,Spin Spin Sugar (Armand's Dark Garage Mix),Pete Tong & Boy George,The Annual III,330
Punk & Garage (199 titres),25,3,2220292,Spin Spin Sugar (Armand's Dark Garage Mix),Pete Tong & Boy George,The Annual III,330
Punk & Garage (199 titres),25,3,2273778,Spin Spin Sugar (Armand's Dark Garage Mix),Pete Tong & Boy George,The Annual III,330
Punk & Garage (199 titres),26,2,1949210,Starboy (feat. Daft Punk),The Weeknd,Starboy,273
Punk & Garage (199 titres),26,2,2117366,Starboy feat. Daft Punk,The Weeknd,Starboy,230
Punk & Garage (199 titres),27,2,1199522,Stick It Out,Frank Zappa,Joe's Garage Acts II & III (vinyl rip),273
Punk & Garage (199 titres),27,2,2142851,Stick It Out,Frank Zappa,Joe's Garage Acts II & III (vinyl rip),273
Punk & Garage (199 titres),28,2,1199523,Sy Borg,Frank Zappa,Joe's Garage Acts II & III (vinyl rip),534
Punk & Garage (199 titres),28,2,2142852,Sy Borg,Frank Zappa,Joe's Garage Acts II & III (vinyl rip),534
Punk & Garage (199 titres),29,2,1199519,Watermelon in Easter Hay,Frank Zappa,Joe's Garage Acts II & III (vinyl rip),601
Punk & Garage (199 titres),29,2,2142853,Watermelon in Easter Hay,Frank Zappa,Joe's Garage Acts II & III (vinyl rip),601
