playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
R&B (500 titres),1,2,1231289,"Bills, Bills, Bills",Destiny's Child,Destiny’s Child / The Writing’s on the Wall,256
R&B (500 titres),1,2,2336316,"Bills, Bills, Bills",Destiny's Child,Destiny’s Child / The Writing’s on the Wall,256
R&B (500 titres),2,2,2093511,I Got You (I Feel Good),Nick Urata,Paddington: Original Motion Picture Soundtrack,167
R&B (500 titres),2,2,2184016,I Got You (I Feel Good),Nick Urata,Paddington: Original Motion Picture Soundtrack,167
R&B (500 titres),3,2,2213202,TU M'OUBLIERAS,Larusso,SIMPLEMENT,198
R&B (500 titres),3,2,2184033,Tu M'oublieras,Larusso,Simplement,198
R&B (500 titres),4,2,2007607,Things That Make You Go Hmmmm...,C+C Music Factory,Super Hits  (Compilation),323
R&B (500 titres),4,2,2184041,Things That Make You Go Hmmmm...,C+C Music Factory,Super Hits  (Compilation),323
R&B (500 titres),5,2,2087752,Addictive (LP),Truth Hurts,Addictive,226
R&B (500 titres),5,2,2183863,Addictive (LP),Truth Hurts,Addictive,226
R&B (500 titres),6,2,2023316,Dilemma,Various Artists,Promo Only Urban Radio: September 2012,289
R&B (500 titres),6,2,2184028,Dilemma,Various Artists,Promo Only Urban Radio: September 2012,289
R&B (500 titres),7,2,2348284,Faut Qu'j'travaille,Various Artists,les années 90 : c'était mieux avant,296
R&B (500 titres),7,2,2183995,Faut qu'j'travaille,Various Artists,Les Années 90 : C'était mieux avant,296
R&B (500 titres),8,2,1485219,Good Times,Chic,"Dance, Dance, Dance: The Best of Chic",230
R&B (500 titres),8,2,2125582,Good Times,Chic,"Dance, Dance, Dance: The Best of Chic",230
R&B (500 titres),9,2,2091063,Think,Blues Brothers,The Blues Brothers  (Soundtrack),193
R&B (500 titres),9,2,2184043,Think,Blues Brothers,The Blues Brothers  (Soundtrack),193
R&B (500 titres),10,10,1255148,Unknown,John Legend,Darkness and Light,210
R&B (500 titres),10,10,1255144,Unknown,John Legend,Darkness and Light,183
R&B (500 titres),10,10,1255146,Unknown,John Legend,Darkness and Light,230
R&B (500 titres),10,10,1255149,Unknown,John Legend,Darkness and Light,201
R&B (500 titres),10,10,1255150,Unknown,John Legend,Darkness and Light,243
R&B (500 titres),10,10,1255151,Unknown,John Legend,Darkness and Light,256
R&B (500 titres),10,10,1255152,Unknown,John Legend,Darkness and Light,235
R&B (500 titres),10,10,1255153,Unknown,John Legend,Darkness and Light,236
R&B (500 titres),10,10,1255154,Unknown,John Legend,Darkness and Light,212
R&B (500 titres),10,10,1255155,Unknown,John Legend,Darkness and Light,261
R&B (500 titres),11,33,2183913,Unknown,Justin Timberlake,Unknown Album,289
R&B (500 titres),11,33,2213332,Unknown,Justin Timberlake,Unknown Album,289
R&B (500 titres),11,33,2266273,Unknown,Justin Timberlake,Unknown Album,288
R&B (500 titres),11,33,2278690,Unknown,Justin Timberlake,Unknown Album,288
R&B (500 titres),11,33,2266277,Unknown,Justin Timberlake,Unknown Album,275
R&B (500 titres),11,33,2278689,Unknown,Justin Timberlake,Unknown Album,275
R&B (500 titres),11,33,1859646,Unknown,Justin Timberlake,Unknown Album,205
R&B (500 titres),11,33,1859648,Unknown,Justin Timberlake,Unknown Album,331
R&B (500 titres),11,33,1938866,Unknown,Justin Timberlake,Unknown Album,239
R&B (500 titres),11,33,1938878,Unknown,Justin Timberlake,Unknown Album,329
R&B (500 titres),11,33,1938880,Unknown,Justin Timberlake,Unknown Album,258
R&B (500 titres),11,33,1938881,Unknown,Justin Timberlake,Unknown Album,249
R&B (500 titres),11,33,1938883,Unknown,Justin Timberlake,Unknown Album,305
R&B (500 titres),11,33,1938916,Unknown,Justin Timberlake,Unknown Album,378
R&B (500 titres),11,33,1938918,Unknown,Justin Timberlake,Unknown Album,253
R&B (500 titres),11,33,1938920,Unknown,Justin Timberlake,Unknown Album,396
R&B (500 titres),11,33,1938939,Unknown,Justin Timberlake,Unknown Album,242
R&B (500 titres),11,33,1938940,Unknown,Justin Timberlake,Unknown Album,256
R&B (500 titres),11,33,1938949,Unknown,Justin Timberlake,Unknown Album,277
R&B (500 titres),11,33,1938950,Unknown,Justin Timberlake,Unknown Album,312
R&B (500 titres),11,33,2111005,Unknown,Justin Timberlake,Unknown Album,241
R&B (500 titres),11,33,2159793,Unknown,Justin Timberlake,Unknown Album,247
R&B (500 titres),11,33,2260039,Unknown,Justin Timberlake,Unknown Album,242
R&B (500 titres),11,33,2260041,Unknown,Justin Timberlake,Unknown Album,276
R&B (500 titres),11,33,2260043,Unknown,Justin Timberlake,Unknown Album,384
R&B (500 titres),11,33,2266271,Unknown,Justin Timberlake,Unknown Album,294
R&B (500 titres),11,33,2266272,Unknown,Justin Timberlake,Unknown Album,271
R&B (500 titres),11,33,2266274,Unknown,Justin Timberlake,Unknown Album,267
R&B (500 titres),11,33,2266275,Unknown,Justin Timberlake,Unknown Album,298
R&B (500 titres),11,33,2266278,Unknown,Justin Timberlake,Unknown Album,331
R&B (500 titres),11,33,2266279,Unknown,Justin Timberlake,Unknown Album,269
