playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Rap & Hip-Hop (500 titres),1,4,1953910,A Vouloir Toucher Dieu,Akhenaton,Double Chill Burger  (Compilation),260
Rap & Hip-Hop (500 titres),1,4,2131640,A Vouloir Toucher Dieu,Akhenaton,Double Chill Burger  (Compilation),260
Rap & Hip-Hop (500 titres),1,4,2021081,A Vouloir Toucher Dieu...,Akhenaton,Double Chill Burger  (Compilation),260
Rap & Hip-Hop (500 titres),1,4,2291010,À vouloir toucher Dieu…,Akhenaton,Double Chill Burger (Best of),260
Rap & Hip-Hop (500 titres),2,3,1954176,Rien À Perdre,Akhenaton,Double Chill Burger  (Compilation),272
Rap & Hip-Hop (500 titres),2,3,2131641,Rien À Perdre,Akhenaton,Double Chill Burger  (Compilation),272
Rap & Hip-Hop (500 titres),2,3,2281728,Rien À Perdre,Akhenaton,Double Chill Burger,272
Rap & Hip-Hop (500 titres),3,3,1484437,Je Danse Le Mia  (Le Terrible Funk Remix Radio Edit),IAM,Ombre Est Lumière,239
Rap & Hip-Hop (500 titres),3,3,2002098,Je Danse le Mia (Le Terrible Funk Remix Radio Edit),IAM,Ombre Est Lumiere (Volume Unique),239
Rap & Hip-Hop (500 titres),3,3,1422942,Je danse le Mia (Le Terrible Funk remix radio edit),IAM,"Ombre est lumière, volume unique",239
Rap & Hip-Hop (500 titres),4,3,1269233,La Tribu De Dana,Manau,Panique Celtique,286
Rap & Hip-Hop (500 titres),4,3,1269270,La Tribu De Dana,Manau,Best Of,289
Rap & Hip-Hop (500 titres),4,3,1269272,La Tribu de Dana,Manau,Panique celtique,286
Rap & Hip-Hop (500 titres),5,2,2088749,Mémoire,Shurik'n,Où Je Vis,231
Rap & Hip-Hop (500 titres),5,2,2088751,Mémoire,Shurik'n,Ou Je Vis,231
Rap & Hip-Hop (500 titres),6,4,2032065,Pousse Au Milieu Des Cactus Ma Rancoeur,Akhenaton,Double Chill Burger (Best of),322
Rap & Hip-Hop (500 titres),6,4,2183406,Pousse Au Milieu Des Cactus Ma Rancoeur,Akhenaton,Double Chill Burger & Live Au Dock Des Suds,322
Rap & Hip-Hop (500 titres),6,4,2183426,"Pousse Au Milieu Des Cactus, Ma Rancoeur",Akhenaton,Double Chill Burger - Quality Best Of Akhénaton,322
Rap & Hip-Hop (500 titres),6,4,2291003,"Pousse Au Milieu Des Cactus, Ma Rancoeur",Akhenaton,Double Chill Burger - Quality Best of Akhénaton,322
Rap & Hip-Hop (500 titres),7,3,1960321,"Pousse Au Milieu Des Cactus, Ma Rancœur",Kheops,Sad Hill,322
Rap & Hip-Hop (500 titres),7,3,2027659,"Pousse Au Milieu Des Cactus, Ma Rancœur",Kheops,Sad Hill,322
