playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Redécouvertes notées (80 titres),1,3,1959385,Enfants De La Lune feat Anna Torroja,Psy 4 De La Rime,Enfants de la lune,274
Redécouvertes notées (80 titres),1,3,2278642,Enfants De La Lune feat Anna Torroja,Psy 4 De La Rime,Enfants de la lune,274
Redécouvertes notées (80 titres),1,3,2329617,Enfants de la Lune (feat. Anna Torroja),Psy 4 De La Rime,Enfants de la Lune,274
Redécouvertes notées (80 titres),2,4,2198673,Enfants de la lune,Psy 4 De La Rime,Enfants de la Lune,274
Redécouvertes notées (80 titres),2,4,2278644,Enfants de la lune,Psy 4 De La Rime,Enfants de la lune,274
Redécouvertes notées (80 titres),2,4,2280349,Enfants de la lune,Psy 4 De La Rime,Enfants de la lune,274
Redécouvertes notées (80 titres),2,4,2282773,Enfants de la lune,Psy 4 De La Rime,Enfants de la lune,274
Redécouvertes notées (80 titres),3,2,2012314,Road to Zion (Featuring Nas),Damian Jr. Gong Marley,Welcome to Jamrock,317
Redécouvertes notées (80 titres),3,2,2196565,Road to Zion (Featuring Nas),Damian Jr. Gong Marley,Welcome to Jamrock,317
Redécouvertes notées (80 titres),4,3,2202251,ON PARTIRA,Frédéric Lerner,ON PARTIRA,250
Redécouvertes notées (80 titres),4,3,2011903,On Partira,Frédéric Lerner,Just Hits France,250
Redécouvertes notées (80 titres),4,3,2180009,On partira,Frédéric Lerner,On partira,250
Redécouvertes notées (80 titres),5,2,1241261,Parisien du nord,Cheb Mami,Du Sud Au Nord,211
Redécouvertes notées (80 titres),5,2,2336234,Parisien du nord,Cheb Mami,Du Sud Au Nord,211
Redécouvertes notées (80 titres),6,2,2341741,Paper Planes,M.I.A.,paper planes (homeland security remixes) - ep,205
Redécouvertes notées (80 titres),6,2,2231016,PAPER PLANES,M.I.A.,KALA,204
Redécouvertes notées (80 titres),7,3,1287977,Secret Garden,T'pau,Rage,246
Redécouvertes notées (80 titres),7,3,1299743,Secret Garden,T'pau,Rage,245
Redécouvertes notées (80 titres),7,3,1186058,Secret Garden,T'pau,Heart And Soul - The Very Best Of T'Pau,244
Redécouvertes notées (80 titres),8,2,2120818,Illusions,The Pharcyde,Humboldt Beginnings,226
Redécouvertes notées (80 titres),8,2,2310332,Illusions,The Pharcyde,Humboldt Beginnings,226
Redécouvertes notées (80 titres),9,3,1245977,Melody Tempo Harmony feat. Jimmy Cliff,Bernard Lavilliers,Histoires,226
Redécouvertes notées (80 titres),9,3,2336244,Melody Tempo Harmony feat. Jimmy Cliff,Bernard Lavilliers,Histoires,226
Redécouvertes notées (80 titres),9,3,2336351,Melody Tempo Harmony feat. Jimmy Cliff,Bernard Lavilliers,Histoires,226
Redécouvertes notées (80 titres),10,2,2272633,Ce Matin Va Être Une Pure Soirée,Fatal Bazooka,Le Bestov de Fatal Bazooka,213
Redécouvertes notées (80 titres),10,2,2242388,Ce matin va être une pure soirée,Fatal Bazooka,Le Bestov de Fatal Bazooka,213
Redécouvertes notées (80 titres),11,2,1960575,Miracle Love,Dj Project,In the Club,209
Redécouvertes notées (80 titres),11,2,2183964,Miracle Love,Dj Project,In The Club,209
