playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Reggae & Roots (500 titres),1,2,2054019,Boombastic,Shaggy,Boombastic,250
Reggae & Roots (500 titres),1,2,1936506,Boombastic,Shaggy,D.j. Reggae Mix,124
Reggae & Roots (500 titres),2,3,2011361,Ain't Talkin' 'bout Dub,Apollo 440,Millennium Hits,270
Reggae & Roots (500 titres),2,3,2067246,Ain't Talkin' Bout Dub,Apollo 440,Full Album Sampler,270
Reggae & Roots (500 titres),2,3,1247340,Ain’t Talkin’ ‘Bout Dub,Apollo 440,Electro Glide In Blue,270
Reggae & Roots (500 titres),3,2,1273579,Devil in Me (PDM Club Dub Mix),Purple Disco Machine,Faze #68: Purple Disco Machine,379
Reggae & Roots (500 titres),3,2,1427065,Devil in Me (PDM Club Dub Mix),Purple Disco Machine,Faze #68: Purple Disco Machine,379
Reggae & Roots (500 titres),4,3,2158893,Dub contrôle,Dub Inc,Paradise,353
Reggae & Roots (500 titres),4,3,2198719,Dub contrôle,Dub Inc,Paradise,353
Reggae & Roots (500 titres),4,3,2280427,Dub contrôle,Dub Inc,Paradise,353
Reggae & Roots (500 titres),5,3,1193135,Dépareillé,Pierpoljak,Je fais c'que j'veux,270
Reggae & Roots (500 titres),5,3,2258725,Dépareillé,Pierpoljak,Je fais c'que j'veux,273
Reggae & Roots (500 titres),5,3,2303886,Dépareillé,Pierpoljak,Je fais c'que j'veux,273
Reggae & Roots (500 titres),6,2,2087183,I’m Still in Love With You,Sean Paul,Dutty Rock,273
Reggae & Roots (500 titres),6,2,2107063,I’m Still in Love With You,Sean Paul,Dutty Rock,272
Reggae & Roots (500 titres),7,4,2025646,Maman,Pierpoljak,Je Fais C'que J'veux,257
Reggae & Roots (500 titres),7,4,2244733,Maman,Pierpoljak,Je fais c'que j'veux,256
Reggae & Roots (500 titres),7,4,2258727,Maman,Pierpoljak,Je fais c'que j'veux,256
Reggae & Roots (500 titres),7,4,2303892,Maman,Pierpoljak,Je fais c'que j'veux,256
Reggae & Roots (500 titres),8,2,1951314,My Roots on the Beach,Various Artists,After Workout - 200 Lounge & Chillout Songs,226
Reggae & Roots (500 titres),8,2,2128629,My Roots on the Beach,Various Artists,After Workout - 200 Lounge & Chillout Songs,226
Reggae & Roots (500 titres),9,3,1200429,Viet Nam,Jimmy Cliff,"Wonderful World, Beautiful People",289
Reggae & Roots (500 titres),9,3,1970462,Viet Nam,Jimmy Cliff,Anthology,291
Reggae & Roots (500 titres),9,3,1971158,Viet Nam,Jimmy Cliff,"Wonderful World, Beautiful People",292
Reggae & Roots (500 titres),10,9,1970790,Vietnam,Jimmy Cliff,Ultimate Collection,291
Reggae & Roots (500 titres),10,9,1970871,Vietnam,Jimmy Cliff,The Best of Jimmy Cliff,292
Reggae & Roots (500 titres),10,9,1970897,Vietnam,Jimmy Cliff,Reggae Greats,293
Reggae & Roots (500 titres),10,9,1995570,Vietnam,Jimmy Cliff,Icon CD,285
Reggae & Roots (500 titres),10,9,1995585,Vietnam,Jimmy Cliff,The Universal Masters Collection,291
Reggae & Roots (500 titres),10,9,1995603,Vietnam,Jimmy Cliff,Best Of Jimmy Cliff,292
Reggae & Roots (500 titres),10,9,1995836,Vietnam,Jimmy Cliff,Definitive Collection,290
Reggae & Roots (500 titres),10,9,2100207,Vietnam,Jimmy Cliff,Classic Jimmy Cliff,292
Reggae & Roots (500 titres),10,9,2339463,Vietnam,Jimmy Cliff,reggae greats,291
Reggae & Roots (500 titres),11,2,1952819,(When You Gonna) Give It Up to Me,Various Artists,Only Hits,243
Reggae & Roots (500 titres),11,2,2184984,(When You Gonna) Give It Up to Me,Various Artists,Only Hits,239
Reggae & Roots (500 titres),12,2,2217723,10 Commandments,Lee “Scratch” Perry,Jamaican E.T.,271
Reggae & Roots (500 titres),12,2,2330544,10 Commandments,Lee “Scratch” Perry,Jamaican E.T.,271
Reggae & Roots (500 titres),13,2,2253040,Africa Is The Black Man's Home,"MINOTT, Sugar",Ghetto-ology + Dub,260
Reggae & Roots (500 titres),13,2,2253599,Africa Is the Black Man's Home,"MINOTT, Sugar",Ghetto-ology + Dub,263
Reggae & Roots (500 titres),14,2,2252948,African Girl,"MINOTT, Sugar",The Roots Lover 1978-1983,463
Reggae & Roots (500 titres),14,2,2343859,African Girl,"MINOTT, Sugar",reggae anthology:  hard time pressure,162
Reggae & Roots (500 titres),15,2,2123632,African Woman,Burning Spear,Mek We Dweet,258
Reggae & Roots (500 titres),15,2,2178385,African Woman,Burning Spear,Mek We Dweet,258
Reggae & Roots (500 titres),16,2,2067247,Ain't Talkin' 'bout Dub (@ 440 Original),Apollo 440,Ain't Talkin' 'bout Dub,270
Reggae & Roots (500 titres),16,2,1852142,Ain’t Talkin’ ’bout Dub (440 original),Apollo 440,Ain't Talkin' 'bout Dub,270
Reggae & Roots (500 titres),17,2,1248592,Any Colour (dub),Cutting Crew,All For You The Virgin Years 1986-1992,229
Reggae & Roots (500 titres),17,2,2136885,Any Colour (dub),Cutting Crew,Mixes / Extended / Live,228
Reggae & Roots (500 titres),18,4,2217606,Are You a Giver or Are You a Taker - Sub Dub,Living Room,Jazzalicious Dubs,234
Reggae & Roots (500 titres),18,4,2261332,Are You a Giver or Are You a Taker - Sub Dub,Living Room,Jazzalicious Dubs,234
Reggae & Roots (500 titres),18,4,2314794,Are You a Giver or Are You a Taker - Sub Dub,Living Room,Jazzalicious Dubs,234
Reggae & Roots (500 titres),18,4,2329913,Are You a Giver or Are You a Taker - Sub Dub,Living Room,Jazzalicious Dubs,234
Reggae & Roots (500 titres),19,2,1953097,Baby Come Back,Various Artists,Now That's What I Call Reggae Party,231
Reggae & Roots (500 titres),19,2,2185368,Baby Come Back,Various Artists,Now That's What I Call Reggae Party,231
Reggae & Roots (500 titres),20,2,1976164,Baby It’s Christmas (Almighty dub),Bananarama,Baby It’s Christmas,427
Reggae & Roots (500 titres),20,2,2246480,Baby It’s Christmas (Almighty dub),Bananarama,Baby It’s Christmas,427
Reggae & Roots (500 titres),21,2,2252440,Babylon,"MINOTT, Sugar",Reggae Anthology:  Hard Time Pressure,261
Reggae & Roots (500 titres),21,2,2253068,Babylon,"MINOTT, Sugar",Jet Star Reggae Max,245
Reggae & Roots (500 titres),22,3,2234891,Babylon Cookie Jar a Crumble (Revisited) [DUB],Lee “Scratch” Perry,My Name Is Pipecock Jackxon,293
Reggae & Roots (500 titres),22,3,2265527,Babylon Cookie Jar a Crumble (Revisited) [DUB],Lee “Scratch” Perry,My Name Is Pipecock Jackxon,293
Reggae & Roots (500 titres),22,3,2318370,Babylon Cookie Jar a Crumble (Revisited) [DUB],Lee “Scratch” Perry,My Name Is Pipecock Jackxon,293
Reggae & Roots (500 titres),23,2,2217727,Babylon Fall,Lee “Scratch” Perry,Jamaican E.T.,345
Reggae & Roots (500 titres),23,2,2330548,Babylon Fall,Lee “Scratch” Perry,Jamaican E.T.,345
Reggae & Roots (500 titres),24,3,1845679,Beautiful Brother Of Mine,Curtis Mayfield,Roots CD3,447
