playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Reggaeton & Urban (242 titres),1,2,2023316,Dilemma,Various Artists,Promo Only Urban Radio: September 2012,289
Reggaeton & Urban (242 titres),1,2,2184028,Dilemma,Various Artists,Promo Only Urban Radio: September 2012,289
Reggaeton & Urban (242 titres),2,2,2184412,SUPERGIRL,Various Artists,URBAN DANCE 13,212
Reggaeton & Urban (242 titres),2,2,2070077,Supergirl,Various Artists,Urban Dance 13,212
Reggaeton & Urban (242 titres),3,5,1287568,Bitter Sweet Symphony,The Verve,Urban Hymns,275
Reggaeton & Urban (242 titres),3,5,2182503,Bitter Sweet Symphony,The Verve,Urban Hymns (Remastered 2016),275
Reggaeton & Urban (242 titres),3,5,1884806,Bitter Sweet Symphony,The Verve,Urban Hymns,359
Reggaeton & Urban (242 titres),3,5,2182505,Bitter Sweet Symphony,The Verve,Urban Hymns,359
Reggaeton & Urban (242 titres),3,5,2182506,Bitter Sweet Symphony,The Verve,Urban Hymns,355
Reggaeton & Urban (242 titres),4,2,2109455,All the Things She Said,The BossHoss,Internashville Urban Hymns,204
Reggaeton & Urban (242 titres),4,2,2157191,All the Things She Said,The BossHoss,Internashville Urban Hymns,204
Reggaeton & Urban (242 titres),5,3,2217599,Beautiful Day [Urban Jazz Rebels mix],Gare du Nord,Jazz in the City: A Beautiful Day in the Big Apple With Gare Du Nord,221
Reggaeton & Urban (242 titres),5,3,2229281,Beautiful Day [Urban Jazz Rebels mix],Gare du Nord,Jazz in the City: A Beautiful Day in the Big Apple With Gare Du Nord,221
Reggaeton & Urban (242 titres),5,3,2261214,Beautiful Day [Urban Jazz Rebels mix],Gare du Nord,Jazz in the City: A Beautiful Day in the Big Apple With Gare Du Nord,221
Reggaeton & Urban (242 titres),6,2,1280733,"Bella (Live From Stade de France, France / 2013)",Sexion d'Assaut,Urban Peace 3,301
Reggaeton & Urban (242 titres),6,2,1280734,"Bella (Live From Stade de France, France / 2013)",Sexion d'Assaut,Urban Peace 3,301
Reggaeton & Urban (242 titres),7,2,2102196,Dembow,Lucenzo,Emigrante Del Mundo (Remastered),196
Reggaeton & Urban (242 titres),7,2,2165286,Dembow,Lucenzo,Emigrante del mundo,196
Reggaeton & Urban (242 titres),8,2,2101361,Drowned in Lake Daniels,The BossHoss,Internashville Urban Hymns,171
Reggaeton & Urban (242 titres),8,2,2157186,Drowned in Lake Daniels,The BossHoss,Internashville Urban Hymns,171
Reggaeton & Urban (242 titres),9,2,2184406,GOLD (THOMAS JACK REMIX),Various Artists,URBAN DANCE 11,196
Reggaeton & Urban (242 titres),9,2,2119770,Gold (Thomas Jack remix),Various Artists,Urban Dance 11,196
Reggaeton & Urban (242 titres),10,3,2107368,Hey Joe,The BossHoss,Internashville Urban Hymns,242
Reggaeton & Urban (242 titres),10,3,2157188,Hey Joe,The BossHoss,Internashville Urban Hymns,242
Reggaeton & Urban (242 titres),10,3,2273292,Hey Joe,The BossHoss,Internashville Urban Hymns,242
Reggaeton & Urban (242 titres),11,2,2059605,Hey Ya!,The BossHoss,Internashville Urban Hymns,232
Reggaeton & Urban (242 titres),11,2,2175178,Hey Ya!,The BossHoss,Internashville Urban Hymns,232
Reggaeton & Urban (242 titres),12,2,1280735,"J'Me Tire (Live From Stade de France, France / 2013)",Sexion d'Assaut,Urban Peace 3,283
Reggaeton & Urban (242 titres),12,2,1280736,"J'Me Tire (Live From Stade de France, France / 2013)",Sexion d'Assaut,Urban Peace 3,283
Reggaeton & Urban (242 titres),13,2,2177418,Jungle Brother (Urban Takeover Mix),Judge Jules & Boy George,The Annual IV,414
Reggaeton & Urban (242 titres),13,2,2220270,Jungle Brother (Urban Takeover Mix),Judge Jules & Boy George,The Annual IV,414
