playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Relaxation (90 titres),1,4,1953910,A Vouloir Toucher Dieu,Akhenaton,Double Chill Burger  (Compilation),260
Relaxation (90 titres),1,4,2131640,A Vouloir Toucher Dieu,Akhenaton,Double Chill Burger  (Compilation),260
Relaxation (90 titres),1,4,2021081,A Vouloir Toucher Dieu...,Akhenaton,Double Chill Burger  (Compilation),260
Relaxation (90 titres),1,4,2291010,À vouloir toucher Dieu…,Akhenaton,Double Chill Burger (Best of),260
Relaxation (90 titres),2,2,2128568,Take You Dancing - Twisted Disco House Mix,Various Artists,Beach Club del Mar 2021 (Chill House Café Playlist Compilation Vol.11),367
Relaxation (90 titres),2,2,2336286,Take You Dancing - Twisted Disco House Mix,Various Artists,Beach Club del Mar 2021 (Chill House Café Playlist Compilation Vol.11),367
Relaxation (90 titres),3,3,1954176,Rien À Perdre,Akhenaton,Double Chill Burger  (Compilation),272
Relaxation (90 titres),3,3,2131641,Rien À Perdre,Akhenaton,Double Chill Burger  (Compilation),272
Relaxation (90 titres),3,3,2281728,Rien À Perdre,Akhenaton,Double Chill Burger,272
Relaxation (90 titres),4,3,2183550,Dream Machine (Downtempo mix),Stéphane Pompougnac,Hôtel Costes 1999-2007: The Anniversary Boxset,329
Relaxation (90 titres),4,3,2336355,Dream Machine (Downtempo mix),Stéphane Pompougnac,Hôtel Costes 1999-2007: The Anniversary Boxset,329
Relaxation (90 titres),4,3,2081846,Dream Machine (Downtempo mix),Stéphane Pompougnac,"Hôtel Costes, Volume 8",324
Relaxation (90 titres),5,2,2067872,Caravane,Raphaël,Caravane,206
Relaxation (90 titres),5,2,2196964,Caravane,Raphaël,Caravane,206
Relaxation (90 titres),6,4,2183426,"Pousse Au Milieu Des Cactus, Ma Rancoeur",Akhenaton,Double Chill Burger - Quality Best Of Akhénaton,322
Relaxation (90 titres),6,4,2291003,"Pousse Au Milieu Des Cactus, Ma Rancoeur",Akhenaton,Double Chill Burger - Quality Best of Akhénaton,322
Relaxation (90 titres),6,4,2032065,Pousse Au Milieu Des Cactus Ma Rancoeur,Akhenaton,Double Chill Burger (Best of),322
Relaxation (90 titres),6,4,2183406,Pousse Au Milieu Des Cactus Ma Rancoeur,Akhenaton,Double Chill Burger & Live Au Dock Des Suds,322
Relaxation (90 titres),7,6,2183674,"Relax, Take It Easy",MIKA,Life in Cartoon Motion,276
Relaxation (90 titres),7,6,2343128,"Relax, Take It Easy",MIKA,Life In Cartoon Motion (UK eDeluxe Album),276
Relaxation (90 titres),7,6,2118260,Relax (Take It Easy),MIKA,Life In Cartoon Motion (UK eDeluxe Album),270
Relaxation (90 titres),7,6,2336372,Relax (Take It Easy),MIKA,Life In Cartoon Motion (UK eDeluxe Album),270
Relaxation (90 titres),7,6,1350961,Relax (Take It Easy),MIKA,"Relax, Take It Easy",224
Relaxation (90 titres),7,6,2118262,"Relax, Take It Easy",MIKA,"Relax, Take It Easy",224
Relaxation (90 titres),8,3,2336362,Jaded (Ambient mix),Deadmau5,Jaded Ep,250
Relaxation (90 titres),8,3,1942375,Jaded (ambient mix),Deadmau5,Jaded EP,250
Relaxation (90 titres),8,3,2131675,Jaded (ambient mix),Deadmau5,Jaded EP,250
Relaxation (90 titres),9,3,1486717,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,209
Relaxation (90 titres),9,3,1490248,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,209
Relaxation (90 titres),9,3,2128572,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,209
Relaxation (90 titres),10,5,2065958,Nel blu dipinto di blu ⁄ Dans le bleu du ciel bleu (acoustic version),Claudio Capéo,Penso a te,237
Relaxation (90 titres),10,5,2023837,Nel Blu Dipinto Di Blu ⧸ Dans le Bleu Du Ciel Bleu (Acoustic Version),Claudio Capéo,Penso A Te (L'ultimo),237
Relaxation (90 titres),10,5,1271600,Nel Blu Dipinto Di Blu / Dans Le Bleu Du Ciel Bleu (Acoustic Version),Claudio Capéo,Penso A Te (L'ultimo),237
Relaxation (90 titres),10,5,2307220,Nel blu dipinto di blu / Dans le bleu du ciel bleu (Acoustic Version),Claudio Capéo,Penso a te (L'ultimo),237
Relaxation (90 titres),10,5,2112000,Nel blu dipinto di blu / Dans le bleu du ciel bleu (acoustic version),Claudio Capéo,Penso a te,237
Relaxation (90 titres),11,3,2068177,Hymn of the Seventh Galaxy,Chick Corea,5 Original Albums,213
Relaxation (90 titres),11,3,2068180,Hymn of the Seventh Galaxy,Chick Corea,5 Original Albums,212
Relaxation (90 titres),11,3,2113445,Hymn of the Seventh Galaxy,Chick Corea,Chick Corea & Friends: New York,212
Relaxation (90 titres),12,3,2087388,Can You Relate (Instrumental),The Samuel L Session,Can You Relate  (single),302
Relaxation (90 titres),12,3,2123522,Can You Relate (Instrumental),The Samuel L Session,Can You Relate EP,302
Relaxation (90 titres),12,3,2309613,Can You Relate (Instrumental),The Samuel L Session,Can You Relate,302
Relaxation (90 titres),13,2,2121743,Bounce (instrumental),Timbaland,Timbaland Presents… Shock Value (Instrumental Version),244
Relaxation (90 titres),13,2,1247600,Bounce (instrumental),Timbaland,Shock Value,244
Relaxation (90 titres),14,2,2085688,Relax,Frankie Goes to Hollywood,Welcome to the Pleasuredome,237
Relaxation (90 titres),14,2,2183823,Relax,Frankie Goes to Hollywood,Welcome to the Pleasuredome,237
Relaxation (90 titres),15,2,2108575,On s’en fout,Christophe Mali,Je vous emmène,234
Relaxation (90 titres),15,2,2066847,On s'en fout,Christophe Mali,Je vous emmène,229
Relaxation (90 titres),16,2,2099243,Crocodile Rock,Elton John,Don’t Shoot Me I’m Only the Piano Player,232
Relaxation (90 titres),16,2,2164903,Crocodile Rock,Elton John,Don’t Shoot Me I’m Only the Piano Player,232
Relaxation (90 titres),17,2,2122226,Paris-Seychelles,JULIEN DORÉ,Piano sølo,225
Relaxation (90 titres),17,2,2309041,Paris-Seychelles,JULIEN DORÉ,Piano sølo,225
Relaxation (90 titres),18,2,2251947,ARE YOU GONNA BE MY GIRL (ACOUSTIC VERSION),Jet,GET BORN,215
Relaxation (90 titres),18,2,2326632,Are You Gonna be My Girl (Acoustic Version),Jet,Get Born,215
Relaxation (90 titres),19,2,2013556,Relax My Eyes,Anotr,Unknown Album,192
Relaxation (90 titres),19,2,2183253,Relax My Eyes,Anotr,Unknown Album,192
Relaxation (90 titres),20,2,1980341,One Call Away (Acoustic),Charlie Puth,One Call Away (Acoustic),188
Relaxation (90 titres),20,2,2142444,One Call Away (Acoustic),Charlie Puth,One Call Away (Acoustic),188
