playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Remixes & Edits (500 titres),1,2,1949285,Samba de Janeiro (Radio Edit),Bellini,Samba de Janeiro,168
Remixes & Edits (500 titres),1,2,2111009,Samba de Janeiro (radio edit),Bellini,Brazil ~The Best Of Bellini~,167
Remixes & Edits (500 titres),2,4,1487096,Paradise (radio edit),Coldplay,Paradise,263
Remixes & Edits (500 titres),2,4,2128609,Paradise (radio edit),Coldplay,Paradise,263
Remixes & Edits (500 titres),2,4,2336270,Paradise (radio edit),Coldplay,Paradise,263
Remixes & Edits (500 titres),2,4,2336388,Paradise (radio edit),Coldplay,Paradise,263
Remixes & Edits (500 titres),3,2,2033164,I Love It (Feat. Charli Xcx) [Cobra Starship Remix],Icona Pop,"I Love It (Feat. Charli Xcx) [Remixes], Pt. 2",210
Remixes & Edits (500 titres),3,2,2183957,I Love It (Feat. Charli Xcx) [Cobra Starship Remix],Icona Pop,"I Love It (Feat. Charli Xcx) [Remixes], Pt. 2",210
Remixes & Edits (500 titres),4,2,1351158,Flashdance… What a Feeling (radio edit),Irene Cara,What a Feelin',236
Remixes & Edits (500 titres),4,2,2336424,Flashdance… What a Feeling (radio edit),Irene Cara,What a Feelin',236
Remixes & Edits (500 titres),5,5,2354212,U R (Yam Who Rework),Alison Crockett,the return of diva blue: on becoming a woman redux,415
Remixes & Edits (500 titres),5,5,2019119,U R (Yam Who? Rework),Alison Crockett,The Return of Diva Blue: on Becoming A Woman Redux,415
Remixes & Edits (500 titres),5,5,2309009,U R (Yam Who? Rework),Alison Crockett,The Return Of Diva Blue: On Becoming A Woman Redux,415
Remixes & Edits (500 titres),5,5,2123480,U R (Yam Who? rework),Alison Crockett,The Return of Diva Blue: On Becoming a Woman Redux,415
Remixes & Edits (500 titres),5,5,2019133,U R (Yam Who？ Rework),Alison Crockett,The Return of Diva Blue∶ on Becoming A Woman Redux,414
Remixes & Edits (500 titres),6,2,2201022,WHAT A FEELING (FLASHDANCE) (RADIO EDIT),Irene Cara,FLASHDANCE… WHAT A FEELING,236
Remixes & Edits (500 titres),6,2,2336332,What A Feeling (Flashdance) (Radio Edit),Irene Cara,Flashdance… What A Feeling,236
Remixes & Edits (500 titres),7,3,1484437,Je Danse Le Mia  (Le Terrible Funk Remix Radio Edit),IAM,Ombre Est Lumière,239
Remixes & Edits (500 titres),7,3,2002098,Je Danse le Mia (Le Terrible Funk Remix Radio Edit),IAM,Ombre Est Lumiere (Volume Unique),239
Remixes & Edits (500 titres),7,3,1422942,Je danse le Mia (Le Terrible Funk remix radio edit),IAM,"Ombre est lumière, volume unique",239
Remixes & Edits (500 titres),8,2,2004694,Sex & Drugs & House (Stage Edit),D-Devils,Dance With the Devil,221
Remixes & Edits (500 titres),8,2,2136515,Sex & Drugs & House (Stage edit),D-Devils,Dance with the Devil,221
Remixes & Edits (500 titres),9,2,1347892,Elektro (The Cube Guys ‘Delano’ remix),Various Artists,Hed Kandi: Twisted Disco 2007,342
Remixes & Edits (500 titres),9,2,2145185,Elektro (The Cube Guys ‘Delano’ remix),Various Artists,Hed Kandi: Twisted Disco 2007,342
Remixes & Edits (500 titres),10,2,2012284,Chori Chori (Pachanga Remix),Aneela,Chori Chori,285
