playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Repas entre amis (120 titres),1,2,2122266,Take My Breath Away,Various Artists,Back to the 80’s: Gold,251
Repas entre amis (120 titres),1,2,2336284,Take My Breath Away,Various Artists,Back to the 80’s: Gold,251
Repas entre amis (120 titres),2,4,1487096,Paradise (radio edit),Coldplay,Paradise,263
Repas entre amis (120 titres),2,4,2128609,Paradise (radio edit),Coldplay,Paradise,263
Repas entre amis (120 titres),2,4,2336270,Paradise (radio edit),Coldplay,Paradise,263
Repas entre amis (120 titres),2,4,2336388,Paradise (radio edit),Coldplay,Paradise,263
Repas entre amis (120 titres),3,3,1484437,Je Danse Le Mia  (Le Terrible Funk Remix Radio Edit),IAM,Ombre Est Lumière,239
Repas entre amis (120 titres),3,3,2002098,Je Danse le Mia (Le Terrible Funk Remix Radio Edit),IAM,Ombre Est Lumiere (Volume Unique),239
Repas entre amis (120 titres),3,3,1422942,Je danse le Mia (Le Terrible Funk remix radio edit),IAM,"Ombre est lumière, volume unique",239
Repas entre amis (120 titres),4,2,1949285,Samba de Janeiro (Radio Edit),Bellini,Samba de Janeiro,168
Repas entre amis (120 titres),4,2,2111009,Samba de Janeiro (radio edit),Bellini,Brazil ~The Best Of Bellini~,167
Repas entre amis (120 titres),5,2,2106624,Sun Always Shines on T.V.,a‐ha,Hunting High and Low,302
Repas entre amis (120 titres),5,2,2336353,Sun Always Shines on T.V.,a‐ha,Hunting High and Low,302
Repas entre amis (120 titres),6,11,2306223,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,238
Repas entre amis (120 titres),6,11,2274823,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,238
Repas entre amis (120 titres),6,11,2336405,Girls Just Want to Have Fun,Cyndi Lauper,She’S So Unusual,238
Repas entre amis (120 titres),6,11,1958147,Girls Just Want to Have Fun,Cyndi Lauper,Girls Just Want to Have Fun [Us 7'' Single (37-04120)],237
Repas entre amis (120 titres),6,11,2131653,Girls Just Want to Have Fun,Cyndi Lauper,Girls Just Want To Have Fun [Us 7'' Single (37-04120)],237
Repas entre amis (120 titres),6,11,2336336,Girls Just Want to Have Fun,Cyndi Lauper,Girls Just Want to Have Fun [Us 7'' Single (37-04120)],237
Repas entre amis (120 titres),6,11,2131657,Girls Just Want to Have Fun,Cyndi Lauper,Gold Greatest Hits,236
Repas entre amis (120 titres),6,11,2278651,girls just want to have fun,Cyndi Lauper,Gold Greatest Hits,236
Repas entre amis (120 titres),6,11,1958002,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
Repas entre amis (120 titres),6,11,2131677,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
Repas entre amis (120 titres),6,11,2280525,Girls Just Want to Have Fun,Cyndi Lauper,Hey Now (Girls Just Want To Have Fun),230
Repas entre amis (120 titres),7,2,1944412,T'en Vas Pas,Various Artists,Boulevard Des Hits 1980,237
Repas entre amis (120 titres),7,2,2128607,T'en vas pas,Various Artists,BOULEVARD DES HITS 1980,237
Repas entre amis (120 titres),8,2,2237909,Hey Now (Girls Just Want to Have Fun) (Original Version),Cyndi Lauper,Hey Now (Girls Just Want to Have Fun),230
Repas entre amis (120 titres),8,2,2336347,Hey Now (Girls Just Want to Have Fun) (Original Version),Cyndi Lauper,Hey Now (Girls Just Want to Have Fun),230
Repas entre amis (120 titres),9,2,1902841,La Vie En Rose (Album Version),Cyndi Lauper,Cyndi Lauper   at Last,214
Repas entre amis (120 titres),9,2,2278638,La Vie En Rose (Album Version),Cyndi Lauper,Cyndi Lauper   At Last,214
Repas entre amis (120 titres),10,2,2114975,Raw,Spandau Ballet,Heart Like a Sky,227
Repas entre amis (120 titres),10,2,2336345,Raw,Spandau Ballet,Heart Like a Sky,227
Repas entre amis (120 titres),11,2,1347892,Elektro (The Cube Guys ‘Delano’ remix),Various Artists,Hed Kandi: Twisted Disco 2007,342
Repas entre amis (120 titres),11,2,2145185,Elektro (The Cube Guys ‘Delano’ remix),Various Artists,Hed Kandi: Twisted Disco 2007,342
Repas entre amis (120 titres),12,3,1245977,Melody Tempo Harmony feat. Jimmy Cliff,Bernard Lavilliers,Histoires,226
Repas entre amis (120 titres),12,3,2336244,Melody Tempo Harmony feat. Jimmy Cliff,Bernard Lavilliers,Histoires,226
Repas entre amis (120 titres),12,3,2336351,Melody Tempo Harmony feat. Jimmy Cliff,Bernard Lavilliers,Histoires,226
Repas entre amis (120 titres),13,2,2266277,Unknown,Justin Timberlake,Unknown Album,275
Repas entre amis (120 titres),13,2,2278689,Unknown,Justin Timberlake,Unknown Album,275
Repas entre amis (120 titres),14,2,2173379,Nothing Can Come Between Us,Sade,Stronger Than Pride,264
Repas entre amis (120 titres),14,2,2278729,Nothing Can Come Between Us,Sade,Stronger Than Pride,264
Repas entre amis (120 titres),15,2,2114756,War Machine,KISS,Creatures of the Night,255
Repas entre amis (120 titres),15,2,2336315,War Machine,KISS,Creatures of the Night,255
Repas entre amis (120 titres),16,2,2131702,Sweet Nothing (Feat. Florence Welch),Various Artists,Now That's What I Call A Workout 2,212
Repas entre amis (120 titres),16,2,2181542,Sweet Nothing (Feat. Florence Welch),Various Artists,Now That’S What I Call A Workout 2,212
Repas entre amis (120 titres),17,3,2187835,MALA MUJER,C. Tangana,MALA MUJER,219
Repas entre amis (120 titres),17,3,2308987,Mala Mujer,C. Tangana,Ídolo,219
Repas entre amis (120 titres),17,3,2123473,Mala mujer,C. Tangana,Ídolo,219
Repas entre amis (120 titres),18,2,2112499,Belle demoiselle,Various Artists,NRJ Summer Hits Only 2008,208
Repas entre amis (120 titres),18,2,2336380,Belle demoiselle,Various Artists,NRJ Summer Hits Only 2008,208
Repas entre amis (120 titres),19,2,2033164,I Love It (Feat. Charli Xcx) [Cobra Starship Remix],Icona Pop,"I Love It (Feat. Charli Xcx) [Remixes], Pt. 2",210
Repas entre amis (120 titres),19,2,2183957,I Love It (Feat. Charli Xcx) [Cobra Starship Remix],Icona Pop,"I Love It (Feat. Charli Xcx) [Remixes], Pt. 2",210
Repas entre amis (120 titres),20,2,2212908,Y'A D'LA HAINE,Les Rita Mitsouko,SYSTÈME D,279
Repas entre amis (120 titres),20,2,2336413,Y'a D'la Haine,Les Rita Mitsouko,Système D,279
Repas entre amis (120 titres),21,2,2268827,Ride Like the Wind,Christopher Cross,Christopher Cross,275
Repas entre amis (120 titres),21,2,2128590,Ride Like the Wind,Christopher Cross,Christopher Cross,275
Repas entre amis (120 titres),22,5,1949057,"Ça, c'est vraiment toi",Telephone,Rappels 1 + 2,269
Repas entre amis (120 titres),22,5,2131708,"Ça, c'est vraiment toi",Telephone,Rappels 1 + 2,269
Repas entre amis (120 titres),22,5,2124174,Ça (c’est vraiment toi),Telephone,Ça (c’est vraiment toi),268
Repas entre amis (120 titres),22,5,2336428,Ça (c’est vraiment toi),Telephone,Ça (c’est vraiment toi),268
Repas entre amis (120 titres),22,5,2308480,Ça c'est vraiment toi,Telephone,"L'Essentiel, Volume 2",267
Repas entre amis (120 titres),23,5,1949078,Ca C'est Vraiment Toi,Telephone,Ca C'est Vraiment Toi,269
Repas entre amis (120 titres),23,5,2131625,Ca C'est Vraiment Toi,Telephone,Ca C'est Vraiment Toi,269
Repas entre amis (120 titres),23,5,2336295,Ca C'est Vraiment Toi,Telephone,Ca C'est Vraiment Toi,269
Repas entre amis (120 titres),23,5,1949080,Ca (C'est Vraiment Toi),Telephone,Best Of,268
Repas entre amis (120 titres),23,5,2131617,Ca (C'est Vraiment Toi),Telephone,Best Of,268
Repas entre amis (120 titres),24,2,2336324,Ça (C'est Vraiment Toi) (Remasterisé En 2015),Telephone,Dure Limite (Remasterisé En 2015),268
Repas entre amis (120 titres),24,2,2267519,Ça (c'est vraiment toi) (Remasterisé en 2015),Telephone,Dure limite (Remasterisé en 2015),268
Repas entre amis (120 titres),25,2,1231289,"Bills, Bills, Bills",Destiny's Child,Destiny’s Child / The Writing’s on the Wall,256
Repas entre amis (120 titres),25,2,2336316,"Bills, Bills, Bills",Destiny's Child,Destiny’s Child / The Writing’s on the Wall,256
Repas entre amis (120 titres),26,4,1351156,Flashdance… What a Feeling,Irene Cara,Flashdance… What A Feeling - EP,243
Repas entre amis (120 titres),26,4,2336330,Flashdance… What a Feeling,Irene Cara,Flashdance… What A Feeling - EP,243
