playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Repeat rewind (40 titres),1,2,1949285,Samba de Janeiro (Radio Edit),Bellini,Samba de Janeiro,168
Repeat rewind (40 titres),1,2,2111009,Samba de Janeiro (radio edit),Bellini,Brazil ~The Best Of Bellini~,167
Repeat rewind (40 titres),2,2,1349688,Take My Breath Away (Love Theme From “Top Gun”),Various Artists,Top Gun: Original Motion Picture Soundtrack (special expanded edition),255
Repeat rewind (40 titres),2,2,2131718,Take My Breath Away (Love Theme From “Top Gun”),Various Artists,Top Gun: Original Motion Picture Soundtrack (special expanded edition),255
Repeat rewind (40 titres),3,3,2117381,The Sun Always Shines on T.V.,a‐ha,25 (Deluxe Version),301
Repeat rewind (40 titres),3,3,2198665,The Sun Always Shines on T.V.,a‐ha,25 (Deluxe Version),301
Repeat rewind (40 titres),3,3,2237088,The Sun Always Shines on T.V.,a‐ha,25 (Deluxe Version),301
Repeat rewind (40 titres),4,2,1487417,The Sun Always Shines on TV,a‐ha,25 (Deluxe Version),302
Repeat rewind (40 titres),4,2,2237086,The Sun Always Shines on TV,a‐ha,25 (Deluxe Version),302
Repeat rewind (40 titres),5,6,1958147,Girls Just Want To Have Fun,Cyndi Lauper,Girls Just Want To Have Fun [Us 7'' Single (37-04120)],237
Repeat rewind (40 titres),5,6,2131653,Girls Just Want To Have Fun,Cyndi Lauper,Girls Just Want To Have Fun [Us 7'' Single (37-04120)],237
Repeat rewind (40 titres),5,6,1958002,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
Repeat rewind (40 titres),5,6,2131677,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
Repeat rewind (40 titres),5,6,2274823,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,238
Repeat rewind (40 titres),5,6,2131657,girls just want to have fun,Cyndi Lauper,Gold Greatest Hits,236
Repeat rewind (40 titres),6,2,1944412,T'EN VAS PAS,Various Artists,BOULEVARD DES HITS 1980,237
Repeat rewind (40 titres),6,2,2128607,T'en vas pas,Various Artists,BOULEVARD DES HITS 1980,237
Repeat rewind (40 titres),7,2,2057011,NOT OK,5 Seconds Of Summer,EVERYONE’S A STAR!,206
Repeat rewind (40 titres),7,2,2175134,NOT OK,5 Seconds Of Summer,EVERYONE’S A STAR!,206
Repeat rewind (40 titres),8,4,1487096,Paradise (radio edit),Coldplay,Paradise,263
Repeat rewind (40 titres),8,4,2128609,Paradise (radio edit),Coldplay,Paradise,263
Repeat rewind (40 titres),8,4,2198716,Paradise (radio edit),Coldplay,Paradise,263
Repeat rewind (40 titres),8,4,2237144,Paradise (radio edit),Coldplay,Paradise,263
Repeat rewind (40 titres),9,5,2188534,IS THIS LOVE,Bob Marley & The Wailers,ONE LOVE: THE VERY BEST OF,233
Repeat rewind (40 titres),9,5,1212637,Is This Love,Bob Marley & The Wailers,Kaya (2013 Remaster),232
Repeat rewind (40 titres),9,5,1879661,Is This Love,Bob Marley & The Wailers,Kaya (Remastered 2013),232
Repeat rewind (40 titres),9,5,2183982,Is This Love,Bob Marley & The Wailers,Kaya (2013 Remaster),232
Repeat rewind (40 titres),9,5,2183984,Is This Love,Bob Marley & The Wailers,Kaya (UK),232
