playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Rock Classique (260 titres),1,4,2101365,Unknown,THE SAW DOCTORS,"IF THIS IS ROCK AND ROLL, I WANT MY OLD JOB BACK",193
Rock Classique (260 titres),1,4,2108417,Unknown,THE SAW DOCTORS,"IF THIS IS ROCK AND ROLL, I WANT MY OLD JOB BACK",175
Rock Classique (260 titres),1,4,2109335,Unknown,THE SAW DOCTORS,"IF THIS IS ROCK AND ROLL, I WANT MY OLD JOB BACK",159
Rock Classique (260 titres),1,4,2273546,Unknown,THE SAW DOCTORS,"IF THIS IS ROCK AND ROLL, I WANT MY OLD JOB BACK",235
Rock Classique (260 titres),2,2,1232242,I’ll Be Back,The Beatles,Beatles ’65 / Beatles VI,144
Rock Classique (260 titres),2,2,1232244,I’ll Be Back,The Beatles,Beatles ’65,144
Rock Classique (260 titres),3,2,1961232,Running Scared,Roy Orbison,The Soul Of Rock And Roll,133
Rock Classique (260 titres),3,2,1961183,Running Scared,Roy Orbison,The Best Of The Soul Of Rock And Roll,133
Rock Classique (260 titres),4,2,2238139,BLACK BEATLES,Rae Sremmurd,SREMMLIFE 2,292
Rock Classique (260 titres),4,2,2000196,Black Beatles,Rae Sremmurd,Sremmlife 2 [deluxe],291
Rock Classique (260 titres),5,3,1923662,Blue Bayou,Roy Orbison,The Soul Of Rock And Roll,150
Rock Classique (260 titres),5,3,1961186,Blue Bayou,Roy Orbison,The Best Of The Soul Of Rock And Roll,151
Rock Classique (260 titres),5,3,1961242,Blue Bayou,Roy Orbison,The Soul Of Rock And Roll,150
Rock Classique (260 titres),6,3,1966116,Boys Don't Cry,Tom Grennan,"Everywhere I Went, Led Me to Where I Didn’t Want to Be",162
Rock Classique (260 titres),6,3,2062934,Boys Don’t Cry,Tom Grennan,"Everywhere I Went, Led Me to Where I Didn’t Want to Be",162
Rock Classique (260 titres),6,3,2155860,Boys Don’t Cry,Tom Grennan,"Everywhere I Went, Led Me to Where I Didn’t Want to Be",162
Rock Classique (260 titres),7,2,2268728,Broken Stones,Paul Weller,An Orchestrated Songbook With Jules Buckley & The BBC Symphony Orchestra,220
