playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Romantique (500 titres),1,2,2188534,IS THIS LOVE,Bob Marley & The Wailers,ONE LOVE: THE VERY BEST OF,233
Romantique (500 titres),1,2,1212637,Is This Love,Bob Marley & The Wailers,Kaya (2013 Remaster),232
Romantique (500 titres),2,2,2033164,I Love It (Feat. Charli Xcx) [Cobra Starship Remix],Icona Pop,"I Love It (Feat. Charli Xcx) [Remixes], Pt. 2",210
Romantique (500 titres),2,2,2183957,I Love It (Feat. Charli Xcx) [Cobra Starship Remix],Icona Pop,"I Love It (Feat. Charli Xcx) [Remixes], Pt. 2",210
Romantique (500 titres),3,3,2009284,Stay With Me (Radio & Video mix),Beat System,Stay With Me (Tell Me That You Love Me),208
Romantique (500 titres),3,3,2184037,Stay With Me (Radio & Video mix),Beat System,Stay With Me (Tell Me That You Love Me),208
Romantique (500 titres),3,3,2352630,Stay with Me (Radio/ Video - Mix),Beat System,stay with me (tell me that you love me),208
Romantique (500 titres),4,3,2309571,Groove Is In the Heart,Deee‐Lite,World Clique,231
Romantique (500 titres),4,3,1721606,Groove Is in the Heart,Deee‐Lite,World Clique,232
Romantique (500 titres),4,3,2336426,Groove Is in the Heart,Deee‐Lite,World Clique,232
Romantique (500 titres),5,2,1950628,Groove Is in the Heart,Various Artists,La Musique de Tout le Monde En Parle,232
Romantique (500 titres),5,2,2131687,Groove Is in the Heart,Various Artists,La Musique de Tout le Monde En Parle,232
Romantique (500 titres),6,3,1428403,Groove Is in the Heart (LP version),Deee‐Lite,Rhino Hi-Five: Deee-Lite,231
Romantique (500 titres),6,3,1950630,Groove Is in the Heart (LP version),Deee‐Lite,Groove Is in the Heart,231
Romantique (500 titres),6,3,2131659,Groove Is in the Heart (LP version),Deee‐Lite,Groove Is in the Heart,231
Romantique (500 titres),7,2,2114975,Raw,Spandau Ballet,Heart Like a Sky,227
Romantique (500 titres),7,2,2336345,Raw,Spandau Ballet,Heart Like a Sky,227
Romantique (500 titres),8,2,1494111,CRUNK DIDI (LOSING U),Amerie,BECAUSE I LOVE IT,220
Romantique (500 titres),8,2,2320781,CRUNK DIDI (LOSING U),Amerie,BECAUSE I LOVE IT,220
Romantique (500 titres),9,2,1950324,Say Goodbye to Love,Kenna,Make Sure They See My Face,192
Romantique (500 titres),9,2,2131697,Say Goodbye to Love,Kenna,Make Sure They See My Face,192
Romantique (500 titres),10,2,1966097,Don’t Break the Heart,Tom Grennan,Evering Road,229
Romantique (500 titres),10,2,2196527,Don’t Break the Heart,Tom Grennan,Evering Road,229
Romantique (500 titres),11,2,1480780,Running Up That Hill (A Deal With God),Kate Bush,Hounds Of Love,297
Romantique (500 titres),11,2,2128534,Running Up That Hill (A Deal With God),Kate Bush,Hounds Of Love,297
Romantique (500 titres),12,3,2350575,Toi et Moi,Guillaume Grand,l'amour est laid,226
Romantique (500 titres),12,3,1973257,Toi et moi,Guillaume Grand,L'amour Est Laid,229
Romantique (500 titres),12,3,2131685,Toi et moi,Guillaume Grand,L'amour est laid,229
Romantique (500 titres),13,2,2238163,WARM LOVE,Van Morrison,Hard Nose the Highway,204
Romantique (500 titres),13,2,2196536,Warm Love,Van Morrison,Hard Nose the Highway,204
Romantique (500 titres),14,2,1960575,Miracle Love,Dj Project,In the Club,209
Romantique (500 titres),14,2,2183964,Miracle Love,Dj Project,In The Club,209
Romantique (500 titres),15,2,1427598,"""Groove To The Music""",DJ Jean,Love Come Home,255
Romantique (500 titres),15,2,2112156,Groove to the Music,DJ Jean,Love Come Home,255
Romantique (500 titres),16,2,2060259,Creatures in Heaven,Glass Animals,I Love You So F***ing Much,221
Romantique (500 titres),16,2,2093179,Creatures in Heaven,Glass Animals,I Love You So F***ing Much.,221
Romantique (500 titres),17,2,2109920,Heart in a Cage,The Strokes,First Impressions of Earth,206
Romantique (500 titres),17,2,2166015,Heart in a Cage,The Strokes,First Impressions of Earth,206
Romantique (500 titres),18,3,1232381,I Love Rock 'N Roll,Joan Jett & The Blackhearts,I Love Rock 'N' Roll (Expanded Edition),175
Romantique (500 titres),18,3,2008142,I Love Rock 'n' Roll,Joan Jett & The Blackhearts,I Love Rock 'N' Roll (Expanded Edition),175
Romantique (500 titres),18,3,2125466,I Love Rock ’n’ Roll,Joan Jett & The Blackhearts,I Love Rock 'N' Roll (Expanded Edition),175
Romantique (500 titres),19,2,1952482,I Love to Love,Tina Charles,Feels Like Sunday,181
Romantique (500 titres),19,2,2197037,I Love to Love,Tina Charles,Feels Like Sunday,181
Romantique (500 titres),20,2,1950326,Listen to Your Heart,DHT,Unknown Album,270
Romantique (500 titres),20,2,2131691,Listen to Your Heart,DHT,Listen to Your Heart,270
Romantique (500 titres),21,2,1427869,Man Do,Blue,Heart & Soul,179
Romantique (500 titres),21,2,2113009,Man Do,Blue,Heart & Soul,179
Romantique (500 titres),22,2,2058391,Penetrate,15 Stubborn Heart,STUBBORN HEART,239
Romantique (500 titres),22,2,2174220,Penetrate,15 Stubborn Heart,Stubborn Heart,239
Romantique (500 titres),23,2,2054801,Rock My Heart,Haddaway,"Hit Collection, Volume 1: The Album New Edition",248
Romantique (500 titres),23,2,2350507,Rock My Heart,Haddaway,"hit collection, volume 1: the album new edition",248
Romantique (500 titres),24,2,2234425,Run On Love (feat. Lucas Nord),Lucas Nord,Run On Love,238
Romantique (500 titres),24,2,2296981,Run On Love (feat. Lucas Nord),Lucas Nord,Run On Love,238
Romantique (500 titres),25,2,1347445,Save Your Heart,Remady,No Superstar: The Album,172
Romantique (500 titres),25,2,2285252,Save Your Heart,Remady,No Superstar: The Album,172
Romantique (500 titres),26,3,2009084,"She Can't Love You (12"" Version)",Ben Liebrand,Grand 12-Inches 2  (Disc 2: the Funky Grooves),309
Romantique (500 titres),26,3,2183925,"She Can't Love You (12"" Version)",Ben Liebrand,Grand 12-Inches 2  (Disc 2: the Funky Grooves),309
Romantique (500 titres),26,3,1246065,She Can’t Love You (12″ version),Ben Liebrand,Grand 12-Inches 2  (Disc 2: the Funky Grooves),309
Romantique (500 titres),27,4,1956024,This Ain't a Love Song,Bon Jovi,This Ain't a Love Song,306
Romantique (500 titres),27,4,2131716,This Ain't a Love Song,Bon Jovi,This Ain't a Love Song,306
Romantique (500 titres),27,4,2008325,This Ain’T A Love Song,Bon Jovi,These Days,298
Romantique (500 titres),27,4,2184055,This Ain’T A Love Song,Bon Jovi,These Days,298
Romantique (500 titres),28,2,1484128,What Is Love,Various Artists,"La Plus Grande Discothèque du monde, Vol. 6",162
Romantique (500 titres),28,2,2306076,What Is Love,Various Artists,"Boulevard des hits, volume 17",271
Romantique (500 titres),29,2,2182521,2cellos - Whole Lotta Love Vs. Beethoven 5th Symphony [Official Video],2CELLOS,Youtube.Com/Watch?V=X8yymm3dtva,261
Romantique (500 titres),29,2,2340942,2cellos - Whole Lotta Love Vs. Beethoven 5th Symphony [Official Video],2CELLOS,youtube.com/watch?v=x8yymm3dtva,261
Romantique (500 titres),30,2,1301979,Aerial Love,Daniel Johns,Talk,214
Romantique (500 titres),30,2,1852243,Aerial Love,Daniel Johns,Aerial Love,214
Romantique (500 titres),31,2,1185392,Always Come Back to Your Love,Samantha Mumba,GOTTA TELL YOU (NEW VERSION),233
Romantique (500 titres),31,2,2113535,Always Come Back to Your Love,Samantha Mumba,Gotta Tell You,233
Romantique (500 titres),32,2,2180693,BREAK YOUR HEART,Taio Cruz,THE ROKSTARR COLLECTION,186
Romantique (500 titres),32,2,1281683,Break Your Heart,Taio Cruz,The Rokstarr Collection,186
Romantique (500 titres),33,2,2170111,Bang Bang Bang,Tracy Chapman,Matters of the Heart,263
Romantique (500 titres),33,2,2250970,Bang Bang Bang,Tracy Chapman,Matters of the Heart,263
Romantique (500 titres),34,2,2031350,Bla Bla Bla,Gigi D'Agostino,L'amour Toujours,255
Romantique (500 titres),34,2,2350677,Bla Bla Bla,Gigi D'Agostino,l'amour toujours,255
Romantique (500 titres),35,3,2219135,Black Vodka,Ja Rule,Pain Is Love 2,301
Romantique (500 titres),35,3,2240128,Black Vodka,Ja Rule,Pain Is Love 2,301
Romantique (500 titres),35,3,2297488,Black Vodka,Ja Rule,Pain Is Love 2,301
Romantique (500 titres),36,3,2219328,Don't You Want My Love,Moodymann,The Silence Is Broken,215
Romantique (500 titres),36,3,2240218,Don't You Want My Love,Moodymann,The Silence Is Broken,215
Romantique (500 titres),36,3,2297741,Don't You Want My Love,Moodymann,The Silence Is Broken,215
Romantique (500 titres),37,2,2234557,Double Shot of my Baby's Love,George Thorogood and the Destroyers,Half A Boy,194
Romantique (500 titres),37,2,2296559,Double Shot of my Baby's Love,George Thorogood and the Destroyers,Half A Boy,194
Romantique (500 titres),38,2,2215003,ELLE PRÉFÈRE L'AMOUR EN MER,Philippe Lavil,Unknown Album,180
Romantique (500 titres),38,2,1957038,Elle préfère l’amour en mer,Philippe Lavil,Unknown Album,180
Romantique (500 titres),39,2,1248447,Every Heartbeat,Amy Grant,Heart in Motion,212
Romantique (500 titres),39,2,2353696,Every Heartbeat,Amy Grant,heart in motion (30th anniversary edition),212
Romantique (500 titres),40,2,1350302,Everyday I Love You Less and Less,Kaiser Chiefs,Employment,217
Romantique (500 titres),40,2,1973284,Everyday I Love You Less and Less,Kaiser Chiefs,Souvenir : The Singles 2004 - 2012,218
Romantique (500 titres),41,3,2063510,Girl Don't Take Your Love From Me,Michael Jackson,Got To Be There (2013),228
Romantique (500 titres),41,3,2200329,Girl Don’t Take Your Love From Me,Michael Jackson,Got To Be There,228
Romantique (500 titres),41,3,2309007,Girl Don’t Take Your Love From Me,Michael Jackson,Got to Be There,228
Romantique (500 titres),42,2,2098612,Give Love on Christmas Day,Temptations,Give Love at Christmas,219
Romantique (500 titres),42,2,2166256,Give Love on Christmas Day,Temptations,Give Love at Christmas,219
Romantique (500 titres),43,2,2061834,God Of This City,Chris Tomlin,Hello Love,297
Romantique (500 titres),43,2,2122714,God of This City,Chris Tomlin,"""Hello Love""",297
Romantique (500 titres),44,2,1351127,HURRICANE,Låpsley,I'M A HURRICANE I'M A WOMAN IN LOVE,232
Romantique (500 titres),44,2,2332071,HURRICANE,Låpsley,I'M A HURRICANE I'M A WOMAN IN LOVE,232
Romantique (500 titres),45,2,1427123,Heart & Soul,Blue,Heart & Soul,162
Romantique (500 titres),45,2,2121231,Heart & Soul,Blue,Heart & Soul,162
Romantique (500 titres),46,3,1490558,Heart Beats Slow,Angus & Julia Stone,Angus & Julia Stone,275
Romantique (500 titres),46,3,1867134,Heart Beats Slow,Angus & Julia Stone,Angus & Julia Stone  (Disc 1: Fnac Edition),275
Romantique (500 titres),46,3,2068300,Heart Beats Slow,Angus & Julia Stone,Angus & Julia Stone,275
Romantique (500 titres),47,2,1946255,I Once Had Your Love (And I Can’t Let Go),The Isley Brothers,Grand Slam,285
Romantique (500 titres),47,2,2056233,I Once Had Your Love (And I Can’t Let Go),The Isley Brothers,The_Isley_Brothers,286
Romantique (500 titres),48,3,1246853,In Love With the DJ (New vocal Clubb mix),ATB,Sunset Girl / In Love With the DJ,442
Romantique (500 titres),48,3,2110447,In Love With the DJ (New vocal Clubb mix),ATB,Sunset Girl / In Love With the DJ,442
Romantique (500 titres),48,3,2332293,In Love With the DJ (new vocal Clubb mix),ATB,Sunset Girl / In Love With the DJ,442
Romantique (500 titres),49,2,1347418,Is It Love You’re After,Rose Royce,Rose Royce IV: Rainbow Connection,307
