playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Running (140 titres),1,2,1721606,Groove Is in the Heart,Deee‐Lite,World Clique,232
Running (140 titres),1,2,2336426,Groove Is in the Heart,Deee‐Lite,World Clique,232
Running (140 titres),2,2,1480780,Running Up That Hill (A Deal With God),Kate Bush,Hounds Of Love,297
Running (140 titres),2,2,2128534,Running Up That Hill (A Deal With God),Kate Bush,Hounds Of Love,297
Running (140 titres),3,2,2202311,"TURN ON, TUNE IN, COP OUT",Freak Power,DRIVE-THRU BOOTY,264
Running (140 titres),3,2,1232739,Turn On Tune In Cop Out,Freak Power,Drive-Thru Booty,264
Running (140 titres),4,2,2175260,Diesel Power,The Prodigy,The Fat of the Land,259
Running (140 titres),4,2,2274647,Diesel Power,The Prodigy,The Fat Of The Land (2LP DSD128),258
Running (140 titres),5,2,2067246,Ain't Talkin' Bout Dub,Apollo 440,Full Album Sampler,270
Running (140 titres),5,2,2011361,Ain't Talkin' 'bout Dub,Apollo 440,Millennium Hits,270
Running (140 titres),6,2,2054801,Rock My Heart,Haddaway,"Hit Collection, Volume 1: The Album New Edition",248
Running (140 titres),6,2,2350507,Rock My Heart,Haddaway,"hit collection, volume 1: the album new edition",248
Running (140 titres),7,2,2003403,Fred Come to Bed,E-Rotic,Sex Affairs,238
Running (140 titres),7,2,2003406,Fred Come to Bed,E-Rotic,Sex Affairs,237
Running (140 titres),8,2,2350729,Freed from Desire (Edit Mix),Gala,freed from desire  (single),214
Running (140 titres),8,2,1351150,Freed From Desire (edit mix),Gala,Freed From Desire (single),214
Running (140 titres),9,2,1405488,Geronimo’s Cadillac,Modern Talking,In the Middle of Nowhere: The 4th Album,200
Running (140 titres),9,2,1869760,Geronimo's Cadillac,Modern Talking,Best Of,197
Running (140 titres),10,2,2167464,TIME,Kottonmouth Kings,KROWN POWER,316
Running (140 titres),10,2,2110755,Time,Kottonmouth Kings,KROWN POWER,316
Running (140 titres),11,2,2343369,Who Found Who,Jellybean,just visiting this planet,289
Running (140 titres),11,2,1349363,WHO FOUND WHO,Jellybean,Just Visiting This Planet,289
Running (140 titres),12,2,2354836,Ghetto Cocaïne,Kdd,une couleur de plus au drapeau,278
Running (140 titres),12,2,1193091,Ghetto cocaïne,Kdd,Une Couleur de Plus Au Drapeau,278
Running (140 titres),13,2,1252035,Ani Kuni,Polo and Pan,Cyclorama,277
Running (140 titres),13,2,1238287,Ani Kuni,Polo and Pan,Cyclorama,276
Running (140 titres),14,2,2031350,Bla Bla Bla,Gigi D'Agostino,L'amour Toujours,255
Running (140 titres),14,2,2350677,Bla Bla Bla,Gigi D'Agostino,l'amour toujours,255
Running (140 titres),15,2,2328437,Good Life,Inner City,Paradise,244
Running (140 titres),15,2,1179332,Good Life,Inner City,Paradise,244
Running (140 titres),16,2,2063510,Girl Don't Take Your Love From Me,Michael Jackson,Got To Be There (2013),228
Running (140 titres),16,2,2200329,Girl Don’t Take Your Love From Me,Michael Jackson,Got To Be There,228
Running (140 titres),17,2,2172425,Cozza Frenzy,Bassnectar,Cozza Frenzy,224
Running (140 titres),17,2,2273295,Cozza Frenzy,Bassnectar,Cozza Frenzy,224
