playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Slow love (100 titres),1,2,2188534,IS THIS LOVE,Bob Marley & The Wailers,ONE LOVE: THE VERY BEST OF,233
Slow love (100 titres),1,2,1212637,Is This Love,Bob Marley & The Wailers,Kaya (2013 Remaster),232
Slow love (100 titres),2,2,1960575,Miracle Love,Dj Project,In the Club,209
Slow love (100 titres),2,2,2183964,Miracle Love,Dj Project,In The Club,209
Slow love (100 titres),3,4,2266277,Unknown,Justin Timberlake,Unknown Album,275
Slow love (100 titres),3,4,2278689,Unknown,Justin Timberlake,Unknown Album,275
Slow love (100 titres),3,4,2183913,Unknown,Justin Timberlake,Unknown Album,289
Slow love (100 titres),3,4,2213332,Unknown,Justin Timberlake,Unknown Album,289
Slow love (100 titres),4,2,2173379,Nothing Can Come Between Us,Sade,Stronger Than Pride,264
Slow love (100 titres),4,2,2278729,Nothing Can Come Between Us,Sade,Stronger Than Pride,264
Slow love (100 titres),5,2,2033164,I Love It (Feat. Charli Xcx) [Cobra Starship Remix],Icona Pop,"I Love It (Feat. Charli Xcx) [Remixes], Pt. 2",210
Slow love (100 titres),5,2,2183957,I Love It (Feat. Charli Xcx) [Cobra Starship Remix],Icona Pop,"I Love It (Feat. Charli Xcx) [Remixes], Pt. 2",210
Slow love (100 titres),6,3,2009284,Stay With Me (Radio & Video mix),Beat System,Stay With Me (Tell Me That You Love Me),208
Slow love (100 titres),6,3,2184037,Stay With Me (Radio & Video mix),Beat System,Stay With Me (Tell Me That You Love Me),208
Slow love (100 titres),6,3,2352630,Stay with Me (Radio/ Video - Mix),Beat System,stay with me (tell me that you love me),208
Slow love (100 titres),7,2,1231289,"Bills, Bills, Bills",Destiny's Child,Destiny’s Child / The Writing’s on the Wall,256
Slow love (100 titres),7,2,2336316,"Bills, Bills, Bills",Destiny's Child,Destiny’s Child / The Writing’s on the Wall,256
Slow love (100 titres),8,2,2067872,Caravane,Raphaël,Caravane,206
Slow love (100 titres),8,2,2196964,Caravane,Raphaël,Caravane,206
