playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Soirée (107 titres),1,3,1484437,Je Danse Le Mia  (Le Terrible Funk Remix Radio Edit),IAM,Ombre Est Lumière,239
Soirée (107 titres),1,3,2002098,Je Danse le Mia (Le Terrible Funk Remix Radio Edit),IAM,Ombre Est Lumiere (Volume Unique),239
Soirée (107 titres),1,3,1422942,Je danse le Mia (Le Terrible Funk remix radio edit),IAM,"Ombre est lumière, volume unique",239
Soirée (107 titres),2,2,2278681,Move Your Boogie Body,The Bar-Kays,Injoy,378
Soirée (107 titres),2,2,1208262,Move Your Boogie Body,The Bar-Kays,Injoy  (Flac),378
Soirée (107 titres),3,2,1347892,Elektro (The Cube Guys ‘Delano’ remix),Various Artists,Hed Kandi: Twisted Disco 2007,342
Soirée (107 titres),3,2,2145185,Elektro (The Cube Guys ‘Delano’ remix),Various Artists,Hed Kandi: Twisted Disco 2007,342
Soirée (107 titres),4,2,2272633,Ce Matin Va Être Une Pure Soirée,Fatal Bazooka,Le Bestov de Fatal Bazooka,213
Soirée (107 titres),4,2,2242388,Ce matin va être une pure soirée,Fatal Bazooka,Le Bestov de Fatal Bazooka,213
Soirée (107 titres),5,2,1960575,Miracle Love,Dj Project,In the Club,209
Soirée (107 titres),5,2,2183964,Miracle Love,Dj Project,In The Club,209
Soirée (107 titres),6,2,1485008,A Prayer for England,Massive Attack,100th Window,348
Soirée (107 titres),6,2,1485005,A Prayer for England,Massive Attack,100th Window,348
Soirée (107 titres),7,2,2131702,Sweet Nothing (Feat. Florence Welch),Various Artists,Now That's What I Call A Workout 2,212
Soirée (107 titres),7,2,2181542,Sweet Nothing (Feat. Florence Welch),Various Artists,Now That’S What I Call A Workout 2,212
Soirée (107 titres),8,2,2128568,Take You Dancing - Twisted Disco House Mix,Various Artists,Beach Club del Mar 2021 (Chill House Café Playlist Compilation Vol.11),367
Soirée (107 titres),8,2,2336286,Take You Dancing - Twisted Disco House Mix,Various Artists,Beach Club del Mar 2021 (Chill House Café Playlist Compilation Vol.11),367
Soirée (107 titres),9,2,1261128,Myth,Beach House,[standalone recordings],258
Soirée (107 titres),9,2,2067936,Myth,Beach House,Bloom,254
Soirée (107 titres),10,2,2033164,I Love It (Feat. Charli Xcx) [Cobra Starship Remix],Icona Pop,"I Love It (Feat. Charli Xcx) [Remixes], Pt. 2",210
Soirée (107 titres),10,2,2183957,I Love It (Feat. Charli Xcx) [Cobra Starship Remix],Icona Pop,"I Love It (Feat. Charli Xcx) [Remixes], Pt. 2",210
Soirée (107 titres),11,2,1631390,Yours,Various Artists,Back 2 the Dance,234
Soirée (107 titres),11,2,2336280,Yours,Various Artists,Back 2 The Dance,234
Soirée (107 titres),12,2,1950628,Groove Is in the Heart,Various Artists,La Musique de Tout le Monde En Parle,232
Soirée (107 titres),12,2,2131687,Groove Is in the Heart,Various Artists,La Musique de Tout le Monde En Parle,232
Soirée (107 titres),13,3,1721606,Groove Is in the Heart,Deee‐Lite,World Clique,232
Soirée (107 titres),13,3,2336426,Groove Is in the Heart,Deee‐Lite,World Clique,232
Soirée (107 titres),13,3,2309571,Groove Is In the Heart,Deee‐Lite,World Clique,231
Soirée (107 titres),14,3,1950630,Groove Is in the Heart (LP version),Deee‐Lite,Groove Is in the Heart,231
Soirée (107 titres),14,3,2131659,Groove Is in the Heart (LP version),Deee‐Lite,Groove Is in the Heart,231
Soirée (107 titres),14,3,1428403,Groove Is in the Heart (LP version),Deee‐Lite,Rhino Hi-Five: Deee-Lite,231
Soirée (107 titres),15,2,2267469,House Key,Scott Helman,Hôtel de Ville,205
Soirée (107 titres),15,2,2109167,House Key,Scott Helman,Hôtel de Ville,205
Soirée (107 titres),16,2,2007607,Things That Make You Go Hmmmm...,C+C Music Factory,Super Hits  (Compilation),323
Soirée (107 titres),16,2,2184041,Things That Make You Go Hmmmm...,C+C Music Factory,Super Hits  (Compilation),323
Soirée (107 titres),17,3,2336362,Jaded (Ambient mix),Deadmau5,Jaded Ep,250
Soirée (107 titres),17,3,1942375,Jaded (ambient mix),Deadmau5,Jaded EP,250
Soirée (107 titres),17,3,2131675,Jaded (ambient mix),Deadmau5,Jaded EP,250
Soirée (107 titres),18,2,2004694,Sex & Drugs & House (Stage Edit),D-Devils,Dance With the Devil,221
Soirée (107 titres),18,2,2136515,Sex & Drugs & House (Stage edit),D-Devils,Dance with the Devil,221
Soirée (107 titres),19,2,2012284,Chori Chori (Pachanga Remix),Aneela,Chori Chori,285
Soirée (107 titres),19,2,2353488,Chori Chori [Pachanga Remix],Aneela,chori chori [single],285
Soirée (107 titres),20,3,2175260,Diesel Power,The Prodigy,The Fat of the Land,259
Soirée (107 titres),20,3,1216990,Diesel Power,The Prodigy,Out of Space (The Very Best),257
Soirée (107 titres),20,3,1836564,Diesel Power,The Prodigy,The Fat Of The Land (2LP DSD128),257
Soirée (107 titres),21,2,1485219,Good Times,Chic,"Dance, Dance, Dance: The Best of Chic",230
Soirée (107 titres),21,2,2125582,Good Times,Chic,"Dance, Dance, Dance: The Best of Chic",230
Soirée (107 titres),22,2,2116540,In My Arms,Mylo,Destroy Rock & Roll (2005 Remaster),226
Soirée (107 titres),22,2,2319637,In My Arms,Mylo,Destroy Rock & Roll (2005 Remaster),226
Soirée (107 titres),23,2,2070077,Supergirl,Various Artists,Urban Dance 13,212
Soirée (107 titres),23,2,2184412,Supergirl,Various Artists,Urban Dance 13,212
