playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Soirée & Fête (500 titres),1,2,2128568,Take You Dancing - Twisted Disco House Mix,Various Artists,Beach Club del Mar 2021 (Chill House Café Playlist Compilation Vol.11),367
Soirée & Fête (500 titres),1,2,2336286,Take You Dancing - Twisted Disco House Mix,Various Artists,Beach Club del Mar 2021 (Chill House Café Playlist Compilation Vol.11),367
Soirée & Fête (500 titres),2,2,2120068,Baila pa Emociona - Calypso,Zumba Fitness,Cardio Party Soundtrack,251
Soirée & Fête (500 titres),2,2,1949462,Baila Pa Emociona | Calypso,Zumba Fitness,Zumba Fitness Cardio Party Soundtrack,251
Soirée & Fête (500 titres),3,2,1960575,Miracle Love,Dj Project,In the Club,209
Soirée & Fête (500 titres),3,2,2183964,Miracle Love,Dj Project,In The Club,209
Soirée & Fête (500 titres),4,2,2188532,CLUB CAN'T HANDLE ME,Flo Rida,ONLY ONE FLO (PART 1),232
Soirée & Fête (500 titres),4,2,1200042,Club Can’t Handle Me,Flo Rida,"Only One Flo, Pt. 1",232
Soirée & Fête (500 titres),5,2,2024517,Club Can't Handle Me (Feat. David Guetta),Flo Rida,"Only One Flo, Pt. 1",232
Soirée & Fête (500 titres),5,2,1347780,Club Can’t Handle Me feat. David Guetta,Flo Rida,Club Can't Handle Me,232
Soirée & Fête (500 titres),6,3,2244489,IT'S TIME TO PARTY NOW,DJ Abdel,À L'ANCIENNE 2  (COMPILATION),178
Soirée & Fête (500 titres),6,3,2351899,It's Time to Party Now,DJ Abdel,à l'ancienne 2,178
Soirée & Fête (500 titres),6,3,2355424,It’S Time to Party Now,DJ Abdel,À l’ancienne 2,178
Soirée & Fête (500 titres),7,2,1215140,L'homme Pressé,Noir Désir,666.667 Club,225
Soirée & Fête (500 titres),7,2,2097282,L’Homme Pressé,Noir Désir,666.667 Club,225
Soirée & Fête (500 titres),8,2,2214846,TOUT C'QUI NOUS SÉPARE,Jil Caplan,JOURS DE FETE,262
Soirée & Fête (500 titres),8,2,2055757,Tout c'qui nous sépare,Jil Caplan,Jours de fête,262
Soirée & Fête (500 titres),9,4,2169813,Ain't No Chimneys in the Projects,Sharon Jones and the Dap‐Kings,It's A Holiday Soul Party,143
