playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Sweet spot perso (120 titres),1,2,2122266,Take My Breath Away,Various Artists,Back to the 80’s: Gold,251
Sweet spot perso (120 titres),1,2,2336284,Take My Breath Away,Various Artists,Back to the 80’s: Gold,251
Sweet spot perso (120 titres),2,3,2057011,NOT OK,5 Seconds Of Summer,EVERYONE’S A STAR!,206
Sweet spot perso (120 titres),2,3,2175134,NOT OK,5 Seconds Of Summer,EVERYONE’S A STAR!,206
Sweet spot perso (120 titres),2,3,2288248,NOT OK,5 Seconds Of Summer,EVERYONE’S A STAR!,206
Sweet spot perso (120 titres),3,4,1487096,Paradise (radio edit),Coldplay,Paradise,263
Sweet spot perso (120 titres),3,4,2128609,Paradise (radio edit),Coldplay,Paradise,263
Sweet spot perso (120 titres),3,4,2336270,Paradise (radio edit),Coldplay,Paradise,263
Sweet spot perso (120 titres),3,4,2336388,Paradise (radio edit),Coldplay,Paradise,263
Sweet spot perso (120 titres),4,2,2188534,IS THIS LOVE,Bob Marley & The Wailers,ONE LOVE: THE VERY BEST OF,233
Sweet spot perso (120 titres),4,2,1212637,Is This Love,Bob Marley & The Wailers,Kaya (2013 Remaster),232
Sweet spot perso (120 titres),5,4,1348187,Les Sunlights des tropiques,Gilbert Montagné,Gold,234
Sweet spot perso (120 titres),5,4,2328426,Les Sunlights des tropiques,Gilbert Montagné,Gold,234
Sweet spot perso (120 titres),5,4,1493999,Les sunlights des tropiques,Gilbert Montagné,Gold,234
Sweet spot perso (120 titres),5,4,2328379,Les sunlights des tropiques,Gilbert Montagné,Gold,234
Sweet spot perso (120 titres),6,2,1208439,Play Out,Zola Blood,Infinite Games,273
Sweet spot perso (120 titres),6,2,2259646,Play Out,Zola Blood,Infinite Games,273
Sweet spot perso (120 titres),7,3,1484437,Je Danse Le Mia  (Le Terrible Funk Remix Radio Edit),IAM,Ombre Est Lumière,239
Sweet spot perso (120 titres),7,3,2002098,Je Danse le Mia (Le Terrible Funk Remix Radio Edit),IAM,Ombre Est Lumiere (Volume Unique),239
Sweet spot perso (120 titres),7,3,1422942,Je danse le Mia (Le Terrible Funk remix radio edit),IAM,"Ombre est lumière, volume unique",239
Sweet spot perso (120 titres),8,6,1273631,Le monde est...,Psy 4 De La Rime,Enfants de la lune,325
Sweet spot perso (120 titres),8,6,2278645,Le monde est...,Psy 4 De La Rime,Enfants de la lune,325
Sweet spot perso (120 titres),8,6,2280350,Le monde est...,Psy 4 De La Rime,Enfants de la lune,325
Sweet spot perso (120 titres),8,6,2282774,Le monde est...,Psy 4 De La Rime,Enfants de la lune,325
Sweet spot perso (120 titres),8,6,2285209,Le monde est...,Psy 4 De La Rime,Enfants de la lune,325
Sweet spot perso (120 titres),8,6,2329604,Le monde est…,Psy 4 De La Rime,Enfants de la Lune,325
Sweet spot perso (120 titres),9,2,2110873,Tokyo Drift (Teriyaki Boyz vs. Sean Paul),DJ Rob Boskamp,Mtv Mash Up!,230
Sweet spot perso (120 titres),9,2,2270626,Tokyo Drift (Teriyaki Boyz vs. Sean Paul),DJ Rob Boskamp,MTV Mash Up!,230
Sweet spot perso (120 titres),10,3,1959385,Enfants De La Lune feat Anna Torroja,Psy 4 De La Rime,Enfants de la lune,274
Sweet spot perso (120 titres),10,3,2278642,Enfants De La Lune feat Anna Torroja,Psy 4 De La Rime,Enfants de la lune,274
Sweet spot perso (120 titres),10,3,2329617,Enfants de la Lune (feat. Anna Torroja),Psy 4 De La Rime,Enfants de la Lune,274
Sweet spot perso (120 titres),11,4,2198673,Enfants de la lune,Psy 4 De La Rime,Enfants de la Lune,274
Sweet spot perso (120 titres),11,4,2278644,Enfants de la lune,Psy 4 De La Rime,Enfants de la lune,274
Sweet spot perso (120 titres),11,4,2280349,Enfants de la lune,Psy 4 De La Rime,Enfants de la lune,274
Sweet spot perso (120 titres),11,4,2282773,Enfants de la lune,Psy 4 De La Rime,Enfants de la lune,274
Sweet spot perso (120 titres),12,2,1949285,Samba de Janeiro (Radio Edit),Bellini,Samba de Janeiro,168
Sweet spot perso (120 titres),12,2,2111009,Samba de Janeiro (radio edit),Bellini,Brazil ~The Best Of Bellini~,167
Sweet spot perso (120 titres),13,2,2106624,Sun Always Shines on T.V.,a‐ha,Hunting High and Low,302
Sweet spot perso (120 titres),13,2,2336353,Sun Always Shines on T.V.,a‐ha,Hunting High and Low,302
Sweet spot perso (120 titres),14,2,2117381,The Sun Always Shines on T.V.,a‐ha,25 (Deluxe Version),301
Sweet spot perso (120 titres),14,2,2336231,The Sun Always Shines on T.V.,a‐ha,25 (Deluxe Version),301
Sweet spot perso (120 titres),15,12,1958002,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
Sweet spot perso (120 titres),15,12,1958147,Girls Just Want to Have Fun,Cyndi Lauper,Girls Just Want to Have Fun [Us 7'' Single (37-04120)],237
Sweet spot perso (120 titres),15,12,2131653,Girls Just Want to Have Fun,Cyndi Lauper,Girls Just Want To Have Fun [Us 7'' Single (37-04120)],237
Sweet spot perso (120 titres),15,12,2131657,Girls Just Want to Have Fun,Cyndi Lauper,Gold Greatest Hits,236
Sweet spot perso (120 titres),15,12,2131677,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
Sweet spot perso (120 titres),15,12,2274823,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,238
Sweet spot perso (120 titres),15,12,2280525,Girls Just Want to Have Fun,Cyndi Lauper,Hey Now (Girls Just Want To Have Fun),230
Sweet spot perso (120 titres),15,12,2306223,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,238
