playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Terrasse chill (120 titres),1,2,1953910,A Vouloir Toucher Dieu,Akhenaton,Double Chill Burger  (Compilation),260
Terrasse chill (120 titres),1,2,2131640,A Vouloir Toucher Dieu,Akhenaton,Double Chill Burger  (Compilation),260
Terrasse chill (120 titres),2,2,2128568,Take You Dancing - Twisted Disco House Mix,Various Artists,Beach Club del Mar 2021 (Chill House Café Playlist Compilation Vol.11),367
Terrasse chill (120 titres),2,2,2336286,Take You Dancing - Twisted Disco House Mix,Various Artists,Beach Club del Mar 2021 (Chill House Café Playlist Compilation Vol.11),367
Terrasse chill (120 titres),3,2,1869838,Soulman,Ben L’Oncle Soul,Ben L'oncle Soul,224
Terrasse chill (120 titres),3,2,2260420,Soulman,Ben L’Oncle Soul,Ben l'Oncle Soul,223
Terrasse chill (120 titres),4,2,1245442,Duppy Conqueror,Bob Marley & The Wailers,"Soul Revolution, Part II",198
Terrasse chill (120 titres),4,2,1428644,Duppy Conqueror,Bob Marley & The Wailers,"Soul Revolution, Part II",198
Terrasse chill (120 titres),5,2,1427869,Man Do,Blue,Heart & Soul,179
Terrasse chill (120 titres),5,2,2113009,Man Do,Blue,Heart & Soul,179
Terrasse chill (120 titres),6,2,2121274,(Do the) Mashed Potatoes,James Brown,Grits & Soul,151
Terrasse chill (120 titres),6,2,2306829,(Do the) Mashed Potatoes,James Brown,Grits & Soul,151
Terrasse chill (120 titres),7,2,2122986,Sunset (Bird of Prey),Fatboy Slim,Halfway Between the Gutter and the Stars,409
Terrasse chill (120 titres),7,2,2093839,Sunset (Bird of Prey),Fatboy Slim,"Fatboy Slim: Right Here, in the Desert",409
Terrasse chill (120 titres),8,2,2124033,Wondering,4 Strings,Sunset Aftermath,361
Terrasse chill (120 titres),8,2,1183837,Wondering,4 Strings,Sunset Aftermath,361
Terrasse chill (120 titres),9,2,1988814,Before The Light (Workout Version 95 BPM),Power Music Workout,Power Chilled Vol. 11 (Down Tempo Chill Out Grooves),303
Terrasse chill (120 titres),9,2,2183732,Before The Light (Workout Version 95 BPM),Power Music Workout,Power Chilled Vol. 11 (Down Tempo Chill Out Grooves),303
Terrasse chill (120 titres),10,2,2068311,Every Little Thing I Do (re-recorded / remastered),Soul for Real,Candy Rain - Greatest Hits,261
Terrasse chill (120 titres),10,2,2068309,Every Little Thing I Do (re‐recorded / remastered),Soul for Real,Candy Rain - Greatest Hits,261
Terrasse chill (120 titres),11,2,2167239,Chill,The Rasmus,Into,253
Terrasse chill (120 titres),11,2,2183589,Chill,The Rasmus,Into,253
Terrasse chill (120 titres),12,2,2352933,Manhattan-Kaboul,Axelle Red,french soul,230
Terrasse chill (120 titres),12,2,2352929,Manhattan‐Kaboul,Axelle Red,french soul,230
Terrasse chill (120 titres),13,2,2153527,PERFECT DAY,Collective Soul,BLENDER,228
Terrasse chill (120 titres),13,2,2102845,Perfect Day,Collective Soul,BLENDER,228
Terrasse chill (120 titres),14,2,2033280,Soul Cake,Sting,If on A Winter's Night... (Bonus Track Version),209
Terrasse chill (120 titres),14,2,2117332,Soul Cake,Sting,If on A Winter's Night... (Bonus Track Version),209
Terrasse chill (120 titres),15,2,2210727,Silver Bells,Sharon Jones and the Dap‐Kings,It’s a Holiday Soul Party,199
Terrasse chill (120 titres),15,2,2224957,Silver Bells,Sharon Jones and the Dap‐Kings,It's a Holiday Soul Party,199
Terrasse chill (120 titres),16,2,1428316,I Got Soul,Eamon,Golden Rail Motel,190
Terrasse chill (120 titres),16,2,2062117,I Got Soul,Eamon,Golden Rail Motel,190
Terrasse chill (120 titres),17,2,2276891,Disco Inferno (Soul Solution A Cappella),Cyndi Lauper,Disco Inferno  (Single)  (Mp3),418
Terrasse chill (120 titres),17,2,2234077,Disco Inferno (Soul Solution a cappella),Cyndi Lauper,Disco Inferno,418
Terrasse chill (120 titres),18,2,2170536,Bottom Of Your Soul,Toto,Falling In Between,418
Terrasse chill (120 titres),18,2,2060284,Bottom of Your Soul,Toto,Falling In Between,418
Terrasse chill (120 titres),19,2,2264788,Rock Your Soul,Herbie Hancock,Jammin’ With Herbie,411
Terrasse chill (120 titres),19,2,2232697,Rock Your Soul,Herbie Hancock,Jammin’ With Herbie,411
Terrasse chill (120 titres),20,2,1950895,Save Our Soul (Brian Tappert Re Edit),Bob Sinclar,Bob Sinclar - House Masters [Disc 2],410
Terrasse chill (120 titres),20,2,1950798,Save Our Soul (Brian Tappert Re-Edit),Bob Sinclar,Save Our Soul,409
Terrasse chill (120 titres),21,2,2278605,Arabica Deep House 2026 This Sound Is Addictive | Desert Flow,ANNA,Twin Turbo 032 - Unstable Structures,410
Terrasse chill (120 titres),21,2,2278606,Arabica Deep House 2026 This Sound Is Addictive | Desert Flow,ANNA,Twin Turbo 032 - Unstable Structures,410
