playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Top 100 plus écoutés,1,2,1949285,Samba de Janeiro (Radio Edit),Bellini,Samba de Janeiro,168
Top 100 plus écoutés,1,2,2111009,Samba de Janeiro (radio edit),Bellini,Brazil ~The Best Of Bellini~,167
Top 100 plus écoutés,2,4,1953910,A Vouloir Toucher Dieu,Akhenaton,Double Chill Burger  (Compilation),260
Top 100 plus écoutés,2,4,2131640,A Vouloir Toucher Dieu,Akhenaton,Double Chill Burger  (Compilation),260
Top 100 plus écoutés,2,4,2021081,A Vouloir Toucher Dieu...,Akhenaton,Double Chill Burger  (Compilation),260
Top 100 plus écoutés,2,4,2291010,À vouloir toucher Dieu…,Akhenaton,Double Chill Burger (Best of),260
Top 100 plus écoutés,3,2,2122266,Take My Breath Away,Various Artists,Back to the 80’s: Gold,251
Top 100 plus écoutés,3,2,2336284,Take My Breath Away,Various Artists,Back to the 80’s: Gold,251
Top 100 plus écoutés,4,2,2106624,Sun Always Shines on T.V.,a‐ha,Hunting High and Low,302
Top 100 plus écoutés,4,2,2336353,Sun Always Shines on T.V.,a‐ha,Hunting High and Low,302
Top 100 plus écoutés,5,2,2117381,The Sun Always Shines on T.V.,a‐ha,25 (Deluxe Version),301
Top 100 plus écoutés,5,2,2336231,The Sun Always Shines on T.V.,a‐ha,25 (Deluxe Version),301
Top 100 plus écoutés,6,12,1958002,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
Top 100 plus écoutés,6,12,1958147,Girls Just Want to Have Fun,Cyndi Lauper,Girls Just Want to Have Fun [Us 7'' Single (37-04120)],237
Top 100 plus écoutés,6,12,2131653,Girls Just Want to Have Fun,Cyndi Lauper,Girls Just Want To Have Fun [Us 7'' Single (37-04120)],237
Top 100 plus écoutés,6,12,2131657,Girls Just Want to Have Fun,Cyndi Lauper,Gold Greatest Hits,236
Top 100 plus écoutés,6,12,2131677,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
Top 100 plus écoutés,6,12,2274823,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,238
Top 100 plus écoutés,6,12,2280525,Girls Just Want to Have Fun,Cyndi Lauper,Hey Now (Girls Just Want To Have Fun),230
Top 100 plus écoutés,6,12,2306223,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,238
Top 100 plus écoutés,6,12,2312920,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,232
Top 100 plus écoutés,6,12,2336336,Girls Just Want to Have Fun,Cyndi Lauper,Girls Just Want to Have Fun [Us 7'' Single (37-04120)],237
Top 100 plus écoutés,6,12,2336405,Girls Just Want to Have Fun,Cyndi Lauper,She’S So Unusual,238
Top 100 plus écoutés,6,12,2278651,girls just want to have fun,Cyndi Lauper,Gold Greatest Hits,236
Top 100 plus écoutés,7,2,2237909,Hey Now (Girls Just Want to Have Fun) (Original Version),Cyndi Lauper,Hey Now (Girls Just Want to Have Fun),230
Top 100 plus écoutés,7,2,2336347,Hey Now (Girls Just Want to Have Fun) (Original Version),Cyndi Lauper,Hey Now (Girls Just Want to Have Fun),230
Top 100 plus écoutés,8,2,1902841,La Vie En Rose (Album Version),Cyndi Lauper,Cyndi Lauper   at Last,214
Top 100 plus écoutés,8,2,2278638,La Vie En Rose (Album Version),Cyndi Lauper,Cyndi Lauper   At Last,214
Top 100 plus écoutés,9,2,1944412,T'en Vas Pas,Various Artists,Boulevard Des Hits 1980,237
Top 100 plus écoutés,9,2,2128607,T'en vas pas,Various Artists,BOULEVARD DES HITS 1980,237
Top 100 plus écoutés,10,2,2112499,Belle demoiselle,Various Artists,NRJ Summer Hits Only 2008,208
Top 100 plus écoutés,10,2,2336380,Belle demoiselle,Various Artists,NRJ Summer Hits Only 2008,208
Top 100 plus écoutés,11,3,2187835,MALA MUJER,C. Tangana,MALA MUJER,219
Top 100 plus écoutés,11,3,2308987,Mala Mujer,C. Tangana,Ídolo,219
Top 100 plus écoutés,11,3,2123473,Mala mujer,C. Tangana,Ídolo,219
Top 100 plus écoutés,12,3,2057011,NOT OK,5 Seconds Of Summer,EVERYONE’S A STAR!,206
Top 100 plus écoutés,12,3,2175134,NOT OK,5 Seconds Of Summer,EVERYONE’S A STAR!,206
Top 100 plus écoutés,12,3,2288248,NOT OK,5 Seconds Of Summer,EVERYONE’S A STAR!,206
Top 100 plus écoutés,13,2,2128568,Take You Dancing - Twisted Disco House Mix,Various Artists,Beach Club del Mar 2021 (Chill House Café Playlist Compilation Vol.11),367
Top 100 plus écoutés,13,2,2336286,Take You Dancing - Twisted Disco House Mix,Various Artists,Beach Club del Mar 2021 (Chill House Café Playlist Compilation Vol.11),367
Top 100 plus écoutés,14,2,2033164,I Love It (Feat. Charli Xcx) [Cobra Starship Remix],Icona Pop,"I Love It (Feat. Charli Xcx) [Remixes], Pt. 2",210
Top 100 plus écoutés,14,2,2183957,I Love It (Feat. Charli Xcx) [Cobra Starship Remix],Icona Pop,"I Love It (Feat. Charli Xcx) [Remixes], Pt. 2",210
Top 100 plus écoutés,15,2,2188534,IS THIS LOVE,Bob Marley & The Wailers,ONE LOVE: THE VERY BEST OF,233
Top 100 plus écoutés,15,2,1212637,Is This Love,Bob Marley & The Wailers,Kaya (2013 Remaster),232
Top 100 plus écoutés,16,2,2099146,Les poèmes de Michelle,Teri Moïse,Les Poèmes de Michelle : Remixes,236
Top 100 plus écoutés,16,2,2309729,Les poèmes de Michelle,Teri Moïse,Teri Moïse (Edition Deluxe),236
Top 100 plus écoutés,17,2,1261128,Myth,Beach House,[standalone recordings],258
Top 100 plus écoutés,17,2,2067936,Myth,Beach House,Bloom,254
Top 100 plus écoutés,18,4,1487096,Paradise (radio edit),Coldplay,Paradise,263
Top 100 plus écoutés,18,4,2128609,Paradise (radio edit),Coldplay,Paradise,263
Top 100 plus écoutés,18,4,2336270,Paradise (radio edit),Coldplay,Paradise,263
Top 100 plus écoutés,18,4,2336388,Paradise (radio edit),Coldplay,Paradise,263
Top 100 plus écoutés,19,3,1954176,Rien À Perdre,Akhenaton,Double Chill Burger  (Compilation),272
