playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Top Fun Radio (300 titres),1,3,1350218,Another One Bites The Dust,Various Artists,Dancefloor Connection 2007 (Disc 1),197
Top Fun Radio (300 titres),1,3,2348001,Another One Bites the Dust,Various Artists,dancefloor connection 2007,197
Top Fun Radio (300 titres),1,3,2348002,Another One Bites the Dust,Various Artists,dancefloor connection 2007,197
Top Fun Radio (300 titres),2,2,2113080,Bahia,Various Artists,Fun Radio : le Son Dancefloor Summer 2012,196
Top Fun Radio (300 titres),2,2,2347882,Bahia,Various Artists,fun radio : le son dancefloor summer 2012,196
Top Fun Radio (300 titres),3,2,2200724,Billie Jean (P.A.T.M.),Various Artists,Dancefloor Connection 2007,165
Top Fun Radio (300 titres),3,2,2348004,Billie Jean (P.A.T.M.),Various Artists,dancefloor connection 2007,157
Top Fun Radio (300 titres),4,2,2098827,Breathless,Cascada,Evacuate The Dancefloor,190
Top Fun Radio (300 titres),4,2,2155733,Breathless,Cascada,Evacuate The Dancefloor,190
Top Fun Radio (300 titres),5,2,1622274,Come With Me (Cumindaclub mix by Llorca),Various Artists,Dancefloor FG: Le Mix,339
Top Fun Radio (300 titres),5,2,2348127,Come with Me (Cumindaclub Mix by Llorca),Various Artists,dancefloor fg: le mix,340
Top Fun Radio (300 titres),6,2,1427158,Crying at the Discoteque,Alcazar,Dancefloor Deluxe,234
Top Fun Radio (300 titres),6,2,2128099,Crying at the Discoteque,Alcazar,Dancefloor Deluxe,234
Top Fun Radio (300 titres),7,9,1888484,Crying on the Dancefloor,Sam Feldt,Time After Time,173
Top Fun Radio (300 titres),7,9,1896550,Crying on the Dancefloor,Sam Feldt,Time After Time,173
Top Fun Radio (300 titres),7,9,2141832,Crying on the Dancefloor,Sam Feldt,Time After Time,173
Top Fun Radio (300 titres),7,9,2295198,Crying on the Dancefloor,Sam Feldt,Time After Time,173
Top Fun Radio (300 titres),7,9,2295199,Crying on the Dancefloor,Sam Feldt,Time After Time,137
Top Fun Radio (300 titres),7,9,2295201,Crying on the Dancefloor,Sam Feldt,Time After Time,173
Top Fun Radio (300 titres),7,9,2295202,Crying on the Dancefloor,Sam Feldt,Time After Time,137
Top Fun Radio (300 titres),7,9,2295203,Crying on the Dancefloor,Sam Feldt,Time After Time,137
Top Fun Radio (300 titres),7,9,2295208,Crying on the Dancefloor,Sam Feldt,Time After Time,173
Top Fun Radio (300 titres),8,2,2141836,Crying on the Dancefloor feat. Jonas Blue present Endless Summer with Violet Days,Sam Feldt,Time After Time,173
Top Fun Radio (300 titres),8,2,2261031,Crying on the Dancefloor feat. Jonas Blue present Endless Summer with Violet Days,Sam Feldt,Time After Time,173
Top Fun Radio (300 titres),9,2,2100142,Dancefloor,Kylie Minogue,Fever,205
Top Fun Radio (300 titres),9,2,2271490,Dancefloor,Kylie Minogue,Unknown Album,205
Top Fun Radio (300 titres),10,2,1246787,Diamonds & Dancefloors,Ava Max,EveryTime I Cry [Single],155
Top Fun Radio (300 titres),10,2,1984708,Diamonds & Dancefloors,Ava Max,Diamonds & Dancefloors,155
Top Fun Radio (300 titres),11,2,2155737,Draw The Line (Yanou's Candlelight Mix),Cascada,Evacuate The Dancefloor,235
