playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Top NRJ (300 titres),1,2,1949285,Samba de Janeiro (Radio Edit),Bellini,Samba de Janeiro,168
Top NRJ (300 titres),1,2,2111009,Samba de Janeiro (radio edit),Bellini,Brazil ~The Best Of Bellini~,167
Top NRJ (300 titres),2,4,1953910,A Vouloir Toucher Dieu,Akhenaton,Double Chill Burger  (Compilation),260
Top NRJ (300 titres),2,4,2131640,A Vouloir Toucher Dieu,Akhenaton,Double Chill Burger  (Compilation),260
Top NRJ (300 titres),2,4,2021081,A Vouloir Toucher Dieu...,Akhenaton,Double Chill Burger  (Compilation),260
Top NRJ (300 titres),2,4,2291010,À vouloir toucher Dieu…,Akhenaton,Double Chill Burger (Best of),260
Top NRJ (300 titres),3,2,2122266,Take My Breath Away,Various Artists,Back to the 80’s: Gold,251
Top NRJ (300 titres),3,2,2336284,Take My Breath Away,Various Artists,Back to the 80’s: Gold,251
Top NRJ (300 titres),4,2,2106624,Sun Always Shines on T.V.,a‐ha,Hunting High and Low,302
Top NRJ (300 titres),4,2,2336353,Sun Always Shines on T.V.,a‐ha,Hunting High and Low,302
Top NRJ (300 titres),5,11,1958002,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
Top NRJ (300 titres),5,11,1958147,Girls Just Want to Have Fun,Cyndi Lauper,Girls Just Want to Have Fun [Us 7'' Single (37-04120)],237
Top NRJ (300 titres),5,11,2131653,Girls Just Want to Have Fun,Cyndi Lauper,Girls Just Want To Have Fun [Us 7'' Single (37-04120)],237
Top NRJ (300 titres),5,11,2131657,Girls Just Want to Have Fun,Cyndi Lauper,Gold Greatest Hits,236
Top NRJ (300 titres),5,11,2131677,Girls Just Want to Have Fun,Cyndi Lauper,Japanese Singles Collection - Greatest Hits,235
Top NRJ (300 titres),5,11,2274823,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,238
Top NRJ (300 titres),5,11,2280525,Girls Just Want to Have Fun,Cyndi Lauper,Hey Now (Girls Just Want To Have Fun),230
Top NRJ (300 titres),5,11,2306223,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual,238
Top NRJ (300 titres),5,11,2336336,Girls Just Want to Have Fun,Cyndi Lauper,Girls Just Want to Have Fun [Us 7'' Single (37-04120)],237
Top NRJ (300 titres),5,11,2336405,Girls Just Want to Have Fun,Cyndi Lauper,She’S So Unusual,238
Top NRJ (300 titres),5,11,2278651,girls just want to have fun,Cyndi Lauper,Gold Greatest Hits,236
Top NRJ (300 titres),6,2,2237909,Hey Now (Girls Just Want to Have Fun) (Original Version),Cyndi Lauper,Hey Now (Girls Just Want to Have Fun),230
Top NRJ (300 titres),6,2,2336347,Hey Now (Girls Just Want to Have Fun) (Original Version),Cyndi Lauper,Hey Now (Girls Just Want to Have Fun),230
Top NRJ (300 titres),7,2,1902841,La Vie En Rose (Album Version),Cyndi Lauper,Cyndi Lauper   at Last,214
Top NRJ (300 titres),7,2,2278638,La Vie En Rose (Album Version),Cyndi Lauper,Cyndi Lauper   At Last,214
Top NRJ (300 titres),8,2,1944412,T'en Vas Pas,Various Artists,Boulevard Des Hits 1980,237
Top NRJ (300 titres),8,2,2128607,T'en vas pas,Various Artists,BOULEVARD DES HITS 1980,237
Top NRJ (300 titres),9,2,2112499,Belle demoiselle,Various Artists,NRJ Summer Hits Only 2008,208
Top NRJ (300 titres),9,2,2336380,Belle demoiselle,Various Artists,NRJ Summer Hits Only 2008,208
Top NRJ (300 titres),10,3,2187835,MALA MUJER,C. Tangana,MALA MUJER,219
Top NRJ (300 titres),10,3,2308987,Mala Mujer,C. Tangana,Ídolo,219
Top NRJ (300 titres),10,3,2123473,Mala mujer,C. Tangana,Ídolo,219
Top NRJ (300 titres),11,4,1487096,Paradise (radio edit),Coldplay,Paradise,263
Top NRJ (300 titres),11,4,2128609,Paradise (radio edit),Coldplay,Paradise,263
Top NRJ (300 titres),11,4,2336270,Paradise (radio edit),Coldplay,Paradise,263
Top NRJ (300 titres),11,4,2336388,Paradise (radio edit),Coldplay,Paradise,263
Top NRJ (300 titres),12,3,1954176,Rien À Perdre,Akhenaton,Double Chill Burger  (Compilation),272
Top NRJ (300 titres),12,3,2131641,Rien À Perdre,Akhenaton,Double Chill Burger  (Compilation),272
Top NRJ (300 titres),12,3,2281728,Rien À Perdre,Akhenaton,Double Chill Burger,272
Top NRJ (300 titres),13,2,1231289,"Bills, Bills, Bills",Destiny's Child,Destiny’s Child / The Writing’s on the Wall,256
Top NRJ (300 titres),13,2,2336316,"Bills, Bills, Bills",Destiny's Child,Destiny’s Child / The Writing’s on the Wall,256
Top NRJ (300 titres),14,5,1949080,Ca (C'est Vraiment Toi),Telephone,Best Of,268
Top NRJ (300 titres),14,5,2131617,Ca (C'est Vraiment Toi),Telephone,Best Of,268
Top NRJ (300 titres),14,5,1949078,Ca C'est Vraiment Toi,Telephone,Ca C'est Vraiment Toi,269
Top NRJ (300 titres),14,5,2131625,Ca C'est Vraiment Toi,Telephone,Ca C'est Vraiment Toi,269
Top NRJ (300 titres),14,5,2336295,Ca C'est Vraiment Toi,Telephone,Ca C'est Vraiment Toi,269
Top NRJ (300 titres),15,2,2067872,Caravane,Raphaël,Caravane,206
