playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Vibes 2000s (158 titres),1,2,2180225,ECOUTE MOI,Thierry Cham,Zouk 2000-2010 : Les années tubes,228
Vibes 2000s (158 titres),1,2,1206625,Ecoute-moi,Thierry Cham,Zouk 2000-2010 : Les années tubes,228
Vibes 2000s (158 titres),2,2,1851424,Hurricane 2000,Scorpions,Moment Of Glory - Live (DVD),518
Vibes 2000s (158 titres),2,2,2194717,Hurricane 2000,Scorpions,Moment of Glory,364
Vibes 2000s (158 titres),3,2,2172505,Ist Deine Liebe Echt? (Disco 2000 Radio Mix),Blümchen,Die Welt Gehört Dir,198
Vibes 2000s (158 titres),3,2,2059555,Ist deine Liebe echt? (Disco 2000 radio mix),Blümchen,Die Welt Gehört Dir,198
Vibes 2000s (158 titres),4,2,1199853,Les enfants de l'an 2000,Lââm,Persévérance,248
Vibes 2000s (158 titres),4,2,2180062,Les enfants de l'an 2000,Lââm,Les Enfants De L'an 2000 (Single),248
Vibes 2000s (158 titres),5,2,1869549,Rebel Yell,Children Of Bodom,Bestbreeder From 1997 to 2000,251
Vibes 2000s (158 titres),5,2,1946286,Rebel Yell,Children Of Bodom,Bestbreeder: From 1997 To 2000,251
Vibes 2000s (158 titres),6,2,2180432,"STAY (FARAWAY, SO CLOSE!)",U2,THE BEST OF 1990-2000 & B-SIDES (DISC 1∶ THE BEST OF),297
Vibes 2000s (158 titres),6,2,1959354,"Stay (Faraway, So Close!)",U2,"Stay (Faraway, So Close!)",297
Vibes 2000s (158 titres),7,2,2102773,When the Curious Girl Realizes She Is Under Glass,Bright Eyes,The Studio Albums 2000-2011,159
Vibes 2000s (158 titres),7,2,2160051,When the Curious Girl Realizes She Is Under Glass,Bright Eyes,The Studio Albums 2000-2011,159
