playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Voyage & Découverte (500 titres),1,3,2309571,Groove Is In the Heart,Deee‐Lite,World Clique,231
Voyage & Découverte (500 titres),1,3,1721606,Groove Is in the Heart,Deee‐Lite,World Clique,232
Voyage & Découverte (500 titres),1,3,2336426,Groove Is in the Heart,Deee‐Lite,World Clique,232
Voyage & Découverte (500 titres),2,4,2201141,DERNIÈRE DANSE,Indila,MINI WORLD,213
Voyage & Découverte (500 titres),2,4,1351200,Dernière Danse,Indila,mini world (deluxe),214
Voyage & Découverte (500 titres),2,4,2113688,Dernière Danse,Indila,Mini World (Deluxe),214
Voyage & Découverte (500 titres),2,4,2342818,Dernière Danse,Indila,mini world (deluxe),214
Voyage & Découverte (500 titres),3,3,2203153,CHANGE THE WORLD,Eric Clapton,CHANGE THE WORLD,234
Voyage & Découverte (500 titres),3,3,2256740,Change The World,Eric Clapton,Forever Man,234
Voyage & Découverte (500 titres),3,3,2114060,Change the World,Eric Clapton,Clapton Chronicles: The Best of Eric Clapton,234
Voyage & Découverte (500 titres),4,2,2231576,IL VOYAGE EN SOLITAIRE,Manset,Y’A UNE ROUTE,241
Voyage & Découverte (500 titres),4,2,1280828,Il voyage en solitaire,Manset,Various Artists,241
Voyage & Découverte (500 titres),5,2,2231574,IL VOYAGE EN SOLITAIRE (1975) (REMASTERISÉ EN 2016),Manset,MANSETLANDIA - Y'A UNE ROUTE (REMASTERISÉ EN 2016),241
Voyage & Découverte (500 titres),5,2,2196553,Il Voyage En Solitaire (1975) (Remasterisé En 2016),Manset,Mansetlandia - Y'a Une Route (Remasterisé En 2016),241
Voyage & Découverte (500 titres),6,2,2201142,TOURNER DANS LE VIDE,Indila,MINI WORLD,250
Voyage & Découverte (500 titres),6,2,2074909,Tourner Dans le Vide,Indila,mini world (deluxe),245
Voyage & Découverte (500 titres),7,2,1848847,Wavin' Flag (Celebration mix),K'naan,2010 Fifa World Cup Anthem,212
