playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Workout performance (140 titres),1,2,1261128,Myth,Beach House,[standalone recordings],258
Workout performance (140 titres),1,2,2067936,Myth,Beach House,Bloom,254
Workout performance (140 titres),2,2,1721606,Groove Is in the Heart,Deee‐Lite,World Clique,232
Workout performance (140 titres),2,2,2336426,Groove Is in the Heart,Deee‐Lite,World Clique,232
Workout performance (140 titres),3,2,2267469,House Key,Scott Helman,Hôtel de Ville,205
Workout performance (140 titres),3,2,2109167,House Key,Scott Helman,Hôtel de Ville,205
Workout performance (140 titres),4,2,2004694,Sex & Drugs & House (Stage Edit),D-Devils,Dance With the Devil,221
Workout performance (140 titres),4,2,2136515,Sex & Drugs & House (Stage edit),D-Devils,Dance with the Devil,221
Workout performance (140 titres),5,2,2202311,"TURN ON, TUNE IN, COP OUT",Freak Power,DRIVE-THRU BOOTY,264
Workout performance (140 titres),5,2,1232739,Turn On Tune In Cop Out,Freak Power,Drive-Thru Booty,264
Workout performance (140 titres),6,2,2175260,Diesel Power,The Prodigy,The Fat of the Land,259
Workout performance (140 titres),6,2,2274647,Diesel Power,The Prodigy,The Fat Of The Land (2LP DSD128),258
Workout performance (140 titres),7,2,2067246,Ain't Talkin' Bout Dub,Apollo 440,Full Album Sampler,270
Workout performance (140 titres),7,2,2011361,Ain't Talkin' 'bout Dub,Apollo 440,Millennium Hits,270
Workout performance (140 titres),8,2,2054801,Rock My Heart,Haddaway,"Hit Collection, Volume 1: The Album New Edition",248
Workout performance (140 titres),8,2,2350507,Rock My Heart,Haddaway,"hit collection, volume 1: the album new edition",248
Workout performance (140 titres),9,2,2003403,Fred Come to Bed,E-Rotic,Sex Affairs,238
Workout performance (140 titres),9,2,2003406,Fred Come to Bed,E-Rotic,Sex Affairs,237
Workout performance (140 titres),10,2,1351002,Our Own House,MisterWives,Our Own House,232
Workout performance (140 titres),10,2,1968437,Our Own House,MisterWives,Our Own House,232
Workout performance (140 titres),11,2,2350729,Freed from Desire (Edit Mix),Gala,freed from desire  (single),214
Workout performance (140 titres),11,2,1351150,Freed From Desire (edit mix),Gala,Freed From Desire (single),214
Workout performance (140 titres),12,2,1405488,Geronimo’s Cadillac,Modern Talking,In the Middle of Nowhere: The 4th Album,200
Workout performance (140 titres),12,2,1869760,Geronimo's Cadillac,Modern Talking,Best Of,197
Workout performance (140 titres),13,2,2167464,TIME,Kottonmouth Kings,KROWN POWER,316
Workout performance (140 titres),13,2,2110755,Time,Kottonmouth Kings,KROWN POWER,316
Workout performance (140 titres),14,2,2061237,Girls Ain't Nothing But Trouble (1988 Extended Remix),DJ Jazzy Jeff & the Fresh Prince,Rock the House,292
Workout performance (140 titres),14,2,2307980,Girls Ain't Nothing But Trouble (1988 Extended Remix),DJ Jazzy Jeff & the Fresh Prince,Rock the House,289
Workout performance (140 titres),15,2,2343369,Who Found Who,Jellybean,just visiting this planet,289
Workout performance (140 titres),15,2,1349363,WHO FOUND WHO,Jellybean,Just Visiting This Planet,289
Workout performance (140 titres),16,2,2354836,Ghetto Cocaïne,Kdd,une couleur de plus au drapeau,278
Workout performance (140 titres),16,2,1193091,Ghetto cocaïne,Kdd,Une Couleur de Plus Au Drapeau,278
Workout performance (140 titres),17,2,1252035,Ani Kuni,Polo and Pan,Cyclorama,277
Workout performance (140 titres),17,2,1238287,Ani Kuni,Polo and Pan,Cyclorama,276
Workout performance (140 titres),18,2,2031350,Bla Bla Bla,Gigi D'Agostino,L'amour Toujours,255
Workout performance (140 titres),18,2,2350677,Bla Bla Bla,Gigi D'Agostino,l'amour toujours,255
Workout performance (140 titres),19,2,2328437,Good Life,Inner City,Paradise,244
Workout performance (140 titres),19,2,1179332,Good Life,Inner City,Paradise,244
