playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
World vibes (47 titres),1,2,1949285,Samba de Janeiro (Radio Edit),Bellini,Samba de Janeiro,168
World vibes (47 titres),1,2,2111009,Samba de Janeiro (radio edit),Bellini,Brazil ~The Best Of Bellini~,167
World vibes (47 titres),2,2,2001559,Wavin' Flag [Celebration mix],K'naan,2010 Fifa World Cup Anthem,212
World vibes (47 titres),2,2,1848847,Wavin' Flag (Celebration mix),K'naan,2010 Fifa World Cup Anthem,212
World vibes (47 titres),3,3,2187835,MALA MUJER,C. Tangana,MALA MUJER,219
World vibes (47 titres),3,3,2308987,Mala Mujer,C. Tangana,Ídolo,219
World vibes (47 titres),3,3,2123473,Mala mujer,C. Tangana,Ídolo,219
World vibes (47 titres),4,3,1721606,Groove Is in the Heart,Deee‐Lite,World Clique,232
World vibes (47 titres),4,3,2336426,Groove Is in the Heart,Deee‐Lite,World Clique,232
World vibes (47 titres),4,3,2309571,Groove Is In the Heart,Deee‐Lite,World Clique,231
World vibes (47 titres),5,4,1351200,Dernière Danse,Indila,mini world (deluxe),214
World vibes (47 titres),5,4,2113688,Dernière Danse,Indila,Mini World (Deluxe),214
World vibes (47 titres),5,4,2342818,Dernière Danse,Indila,mini world (deluxe),214
World vibes (47 titres),5,4,2201141,DERNIÈRE DANSE,Indila,MINI WORLD,213
World vibes (47 titres),6,2,2201142,TOURNER DANS LE VIDE,Indila,MINI WORLD,250
World vibes (47 titres),6,2,2074909,Tourner Dans le Vide,Indila,mini world (deluxe),245
World vibes (47 titres),7,3,2203153,CHANGE THE WORLD,Eric Clapton,CHANGE THE WORLD,234
World vibes (47 titres),7,3,2114060,Change the World,Eric Clapton,Clapton Chronicles: The Best of Eric Clapton,234
World vibes (47 titres),7,3,2256740,Change The World,Eric Clapton,Forever Man,234
