playlist,total,deduped,removed,m3u
Acoustique (500 titres),500,53,447,/app/playlists/reports/deduped/Acoustique_500_titres_deduped.m3u
After Party (500 titres),500,94,406,/app/playlists/reports/deduped/After_Party_500_titres_deduped.m3u
Afterwork chill (120 titres),120,54,66,/app/playlists/reports/deduped/Afterwork_chill_120_titres_deduped.m3u
Albums pépites (99 titres),99,47,52,/app/playlists/reports/deduped/Albums_ppites_99_titres_deduped.m3u
Ambient & Drone (279 titres),279,132,147,/app/playlists/reports/deduped/Ambient__Drone_279_titres_deduped.m3u
Anniversaire (331 titres),331,187,144,/app/playlists/reports/deduped/Anniversaire_331_titres_deduped.m3u
Apéro Chill (500 titres),500,171,329,/app/playlists/reports/deduped/Apro_Chill_500_titres_deduped.m3u
Automne Doré (500 titres),500,213,287,/app/playlists/reports/deduped/Automne_Dor_500_titres_deduped.m3u
Bandes Originales (500 titres),500,406,94,/app/playlists/reports/deduped/Bandes_Originales_500_titres_deduped.m3u
Before going out (100 titres),100,70,30,/app/playlists/reports/deduped/Before_going_out_100_titres_deduped.m3u
Brunch & Repas (500 titres),500,162,338,/app/playlists/reports/deduped/Brunch__Repas_500_titres_deduped.m3u
Brunch weekend (100 titres),100,59,41,/app/playlists/reports/deduped/Brunch_weekend_100_titres_deduped.m3u
Bureau sans stress (120 titres),120,91,29,/app/playlists/reports/deduped/Bureau_sans_stress_120_titres_deduped.m3u
Chanson Française (395 titres),395,259,136,/app/playlists/reports/deduped/Chanson_Franaise_395_titres_deduped.m3u
Chill & Relax (500 titres),500,272,228,/app/playlists/reports/deduped/Chill__Relax_500_titres_deduped.m3u
Christmas & Fêtes (500 titres),500,314,186,/app/playlists/reports/deduped/Christmas__Ftes_500_titres_deduped.m3u
Classical & Orchestre (500 titres),500,301,199,/app/playlists/reports/deduped/Classical__Orchestre_500_titres_deduped.m3u
Conduite Auto (500 titres),500,250,250,/app/playlists/reports/deduped/Conduite_Auto_500_titres_deduped.m3u
Country & Folk (500 titres),500,367,133,/app/playlists/reports/deduped/Country__Folk_500_titres_deduped.m3u
Covers & Reprises (500 titres),500,374,126,/app/playlists/reports/deduped/Covers__Reprises_500_titres_deduped.m3u
Crépuscule (500 titres),500,342,158,/app/playlists/reports/deduped/Crpuscule_500_titres_deduped.m3u
Cuisine & Recette (500 titres),500,368,132,/app/playlists/reports/deduped/Cuisine__Recette_500_titres_deduped.m3u
Cuisine en rythme (82 titres),82,52,30,/app/playlists/reports/deduped/Cuisine_en_rythme_82_titres_deduped.m3u
Daily mix chill (120 titres),120,88,32,/app/playlists/reports/deduped/Daily_mix_chill_120_titres_deduped.m3u
Daily mix energie (120 titres),120,84,36,/app/playlists/reports/deduped/Daily_mix_energie_120_titres_deduped.m3u
Daily mix night drive (120 titres),120,102,18,/app/playlists/reports/deduped/Daily_mix_night_drive_120_titres_deduped.m3u
Dancefloor rétro (29 titres),29,22,7,/app/playlists/reports/deduped/Dancefloor_rtro_29_titres_deduped.m3u
Dark & Intense (500 titres),500,274,226,/app/playlists/reports/deduped/Dark__Intense_500_titres_deduped.m3u
Deep cuts favoris (100 titres),100,66,34,/app/playlists/reports/deduped/Deep_cuts_favoris_100_titres_deduped.m3u
Deep work sans parole (140 titres),140,122,18,/app/playlists/reports/deduped/Deep_work_sans_parole_140_titres_deduped.m3u
Dimanche reset (120 titres),120,98,22,/app/playlists/reports/deduped/Dimanche_reset_120_titres_deduped.m3u
Diner romantique (100 titres),100,70,30,/app/playlists/reports/deduped/Diner_romantique_100_titres_deduped.m3u
Diversité intelligente (120 titres),120,99,21,/app/playlists/reports/deduped/Diversit_intelligente_120_titres_deduped.m3u
Douche énergique (80 titres),80,43,37,/app/playlists/reports/deduped/Douche_nergique_80_titres_deduped.m3u
Dreamy & Éthéré (500 titres),500,293,207,/app/playlists/reports/deduped/Dreamy__thr_500_titres_deduped.m3u
Découvertes (2) (6 titres),6,6,0,/app/playlists/reports/deduped/Dcouvertes_2_6_titres_deduped.m3u
Découvertes de la semaine (118 titres),118,90,28,/app/playlists/reports/deduped/Dcouvertes_de_la_semaine_118_titres_deduped.m3u
Electronic & Techno (500 titres),500,363,137,/app/playlists/reports/deduped/Electronic__Techno_500_titres_deduped.m3u
Evasion urbaine (120 titres),120,106,14,/app/playlists/reports/deduped/Evasion_urbaine_120_titres_deduped.m3u
