playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Épique & Cinématique (500 titres),1,2,2093511,I Got You (I Feel Good),Nick Urata,Paddington: Original Motion Picture Soundtrack,167
Épique & Cinématique (500 titres),1,2,2184016,I Got You (I Feel Good),Nick Urata,Paddington: Original Motion Picture Soundtrack,167
Épique & Cinématique (500 titres),2,2,2120068,Baila pa Emociona - Calypso,Zumba Fitness,Cardio Party Soundtrack,251
Épique & Cinématique (500 titres),2,2,1949462,Baila Pa Emociona | Calypso,Zumba Fitness,Zumba Fitness Cardio Party Soundtrack,251
Épique & Cinématique (500 titres),3,2,1273415,Snowy Mountains,Mikael Karlsson,Battlefield: Bad Company 2 (Original Soundtrack),183
Épique & Cinématique (500 titres),3,2,2117877,Snowy Mountains,Mikael Karlsson,Battlefield: Bad Company 2 (Original Score),183
Épique & Cinématique (500 titres),4,2,2091063,Think,Blues Brothers,The Blues Brothers  (Soundtrack),193
Épique & Cinématique (500 titres),4,2,2184043,Think,Blues Brothers,The Blues Brothers  (Soundtrack),193
Épique & Cinématique (500 titres),5,3,2307473,Aaron,Paul Kalkbrenner,Berlin Calling: The Soundtrack,360
Épique & Cinématique (500 titres),5,3,2169820,Aaron,Paul Kalkbrenner,Berlin Calling (The Soundtrack),360
Épique & Cinématique (500 titres),5,3,2294231,Aaron,Paul Kalkbrenner,Berlin Calling: The Soundtrack,10
Épique & Cinématique (500 titres),6,3,1357007,Crockett's Theme,Various Artists,"Back to the 80’S: de Hits Uit de Jaren ’80, Volume 2",214
Épique & Cinématique (500 titres),6,3,2322078,Crockett's Theme,Various Artists,"Back to the 80’s: De Hits uit de Jaren ’80, Volume 2",214
Épique & Cinématique (500 titres),6,3,1954634,Crockett’S Theme,Various Artists,"Back to the 80’S: de Hits Uit de Jaren ’80, Volume 2",214
Épique & Cinématique (500 titres),7,2,2259788,Hedwig's Theme,Dimitri Vegas & Like Mike,Home Alone II: On The Night Before Christmas,149
Épique & Cinématique (500 titres),7,2,2114795,Hedwig’s Theme,Dimitri Vegas & Like Mike,Home Alone II: On The Night Before Christmas,149
Épique & Cinématique (500 titres),8,2,2057575,Kuffs Theme,Harold Faltermeyer,Kuffs,164
Épique & Cinématique (500 titres),8,2,2259552,Kuffs Theme,Harold Faltermeyer,Kuffs,164
Épique & Cinématique (500 titres),9,2,1274861,Unbelievable,Owl City,Mobile Orchestra,193
Épique & Cinématique (500 titres),9,2,2327686,Unbelievable,Owl City,Mobile Orchestra,193
Épique & Cinématique (500 titres),10,2,1975222,'Round Midnight,Bill Evans,"Treasures: Solo, Trio & Orchestra Recordings From Denmark (1965-1969)",278
Épique & Cinématique (500 titres),10,2,2182493,'Round Midnight,Bill Evans,"Treasures: Solo, Trio & Orchestra Recordings From Denmark (1965-1969)",278
Épique & Cinématique (500 titres),11,2,2180190,(I've Had) The Time of my Life,Various Artists,Dirty Dancing: Original Soundtrack From the Vestron Motion Picture,287
Épique & Cinématique (500 titres),11,2,2186306,(I've Had) the Time of My Life,Various Artists,Dirty Dancing (Original Soundtrack From the Vestron Motion Picture),288
Épique & Cinématique (500 titres),12,2,2178606,(Theme from) Midnight Express (vocal),Giorgio Moroder,Midnight Express: Music From the Original Motion Picture Soundtrack,287
Épique & Cinématique (500 titres),12,2,2197207,(Theme from) Midnight Express (vocal),Giorgio Moroder,Midnight Express: Music From the Original Motion Picture Soundtrack,287
Épique & Cinématique (500 titres),13,2,1985978,01 - Williams - Concerto for Trumpet and Orchestra - I. Maestoso,"Thomas Hooten (trumpet), Los Angeles Studio Orchestra, John Williams",Williams - Trumpet Concerto - Born on the Fourth of July,431
Épique & Cinématique (500 titres),13,2,2182510,01 - Williams - Concerto for Trumpet and Orchestra - I. Maestoso,"Thomas Hooten (trumpet), Los Angeles Studio Orchestra, John Williams",Williams - Trumpet Concerto - Born on the Fourth of July,431
Épique & Cinématique (500 titres),14,2,2182511,02 - Williams - Concerto for Trumpet and Orchestra - II. Slowly,"Thomas Hooten (trumpet), Los Angeles Studio Orchestra, John Williams",Williams - Trumpet Concerto - Born on the Fourth of July,467
Épique & Cinématique (500 titres),14,2,1985979,02 - Williams - Concerto for Trumpet and Orchestra - Ii. Slowly,"Thomas Hooten (trumpet), Los Angeles Studio Orchestra, John Williams",Williams - Trumpet Concerto - Born on the Fourth of July,467
Épique & Cinématique (500 titres),15,2,2182512,03 - Williams - Concerto for Trumpet and Orchestra - III. Allegro deciso,"Thomas Hooten (trumpet), Los Angeles Studio Orchestra, John Williams",Williams - Trumpet Concerto - Born on the Fourth of July,335
Épique & Cinématique (500 titres),15,2,1985980,03 - Williams - Concerto for Trumpet and Orchestra - Iii. Allegro Deciso,"Thomas Hooten (trumpet), Los Angeles Studio Orchestra, John Williams",Williams - Trumpet Concerto - Born on the Fourth of July,335
Épique & Cinématique (500 titres),16,2,2182099,08 Electric Light Orchestra - Hold On Tight (1),Various Artists,Audios,185
Épique & Cinématique (500 titres),16,2,2103967,08 Electric Light Orchestra - Hold on Tight (1),Various Artists,Audios,185
Épique & Cinématique (500 titres),17,4,2176964,27. Beastie Boys - Ricky's Theme,Beastie Boys,"1998.08.28. Beastie Boys. Biddinghuizen, Walibi Flevo, Lowlands Festival - 320",209
Épique & Cinématique (500 titres),17,4,2219496,27. Beastie Boys - Ricky's Theme,Beastie Boys,"1998.08.28. Beastie Boys. Biddinghuizen, Walibi Flevo, Lowlands Festival - 320",209
Épique & Cinématique (500 titres),17,4,2271673,27. Beastie Boys - Ricky's Theme,Beastie Boys,"1998.08.28. Beastie Boys. Biddinghuizen, Walibi Flevo, Lowlands Festival - 320",209
Épique & Cinématique (500 titres),17,4,2304025,27. Beastie Boys - Ricky's Theme,Beastie Boys,"1998.08.28. Beastie Boys. Biddinghuizen, Walibi Flevo, Lowlands Festival - 320",209
Épique & Cinématique (500 titres),18,2,1960965,A Love So Beautiful,Roy Orbison,A Love So Beautiful: Roy Orbison & The Royal Philharmonic Orchestra,252
