playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
À redécouvrir (45 titres),1,2,1485005,A Prayer for England,Massive Attack,100th Window,348
À redécouvrir (45 titres),1,2,1485008,A Prayer for England,Massive Attack,100th Window,348
À redécouvrir (45 titres),2,3,2183745,Calm Down,Rema,Calm Down,219
À redécouvrir (45 titres),2,3,2245034,Calm Down,Rema,Rave & Roses,219
À redécouvrir (45 titres),2,3,2251180,Calm Down,Rema,Calm Down,219
À redécouvrir (45 titres),3,2,2018882,Parisien Du Nord (Cheb Mami/K-Mel),Alliance Ethnik,Fat Comeback,211
À redécouvrir (45 titres),3,2,2055556,Parisien Du Nord (Cheb Mami⧸K-Mel),Alliance Ethnik,Fat Comeback,211
À redécouvrir (45 titres),4,2,2138795,Rage,Chromeo,FANCIER FOOTWORK,274
À redécouvrir (45 titres),4,2,1271651,Rage!,Chromeo,Fancier Footwork,274
À redécouvrir (45 titres),5,2,2012314,Road to Zion (Featuring Nas),Damian Jr. Gong Marley,Welcome to Jamrock,317
À redécouvrir (45 titres),5,2,2196565,Road to Zion (Featuring Nas),Damian Jr. Gong Marley,Welcome to Jamrock,317
À redécouvrir (45 titres),6,2,2181542,SWEET NOTHING (FEAT. FLORENCE WELCH),Various Artists,NOW THAT’S WHAT I CALL A WORKOUT 2,212
À redécouvrir (45 titres),6,2,2131702,Sweet Nothing (Feat. Florence Welch),Various Artists,Now That's What I Call A Workout 2,212
À redécouvrir (45 titres),7,2,2131680,Still On My Brain,Justin_Timberlake,Justified,275
À redécouvrir (45 titres),7,2,2266277,Still On My Brain,Justin_Timberlake,Justified,275
