playlist,duplicate_group_id,count,track_id,title,artist,album,duration_s
Été & Soleil (500 titres),1,2,2106624,Sun Always Shines on T.V.,a‐ha,Hunting High and Low,302
Été & Soleil (500 titres),1,2,2336353,Sun Always Shines on T.V.,a‐ha,Hunting High and Low,302
Été & Soleil (500 titres),2,2,2117381,The Sun Always Shines on T.V.,a‐ha,25 (Deluxe Version),301
Été & Soleil (500 titres),2,2,2336231,The Sun Always Shines on T.V.,a‐ha,25 (Deluxe Version),301
Été & Soleil (500 titres),3,2,2112499,Belle demoiselle,Various Artists,NRJ Summer Hits Only 2008,208
Été & Soleil (500 titres),3,2,2336380,Belle demoiselle,Various Artists,NRJ Summer Hits Only 2008,208
Été & Soleil (500 titres),4,2,2128568,Take You Dancing - Twisted Disco House Mix,Various Artists,Beach Club del Mar 2021 (Chill House Café Playlist Compilation Vol.11),367
Été & Soleil (500 titres),4,2,2336286,Take You Dancing - Twisted Disco House Mix,Various Artists,Beach Club del Mar 2021 (Chill House Café Playlist Compilation Vol.11),367
Été & Soleil (500 titres),5,2,2202246,808 PM AT THE BEACH,Fred Falke,PART IV,390
Été & Soleil (500 titres),5,2,1216436,808 PM At The Beach,Fred Falke,Part IV,384
Été & Soleil (500 titres),6,3,2176350,Caribbean Festival,Kool & The Gang,Gold,453
Été & Soleil (500 titres),6,3,2303517,Caribbean Festival,Kool & The Gang,Gold,453
Été & Soleil (500 titres),6,3,2323396,Caribbean Festival,Kool & The Gang,Gold,455
Été & Soleil (500 titres),7,4,2218378,Caribbean Festival (Edit),Kool & The Gang,Gold,453
Été & Soleil (500 titres),7,4,2280362,Caribbean Festival (Edit),Kool & The Gang,Gold,453
Été & Soleil (500 titres),7,4,2282784,Caribbean Festival (Edit),Kool & The Gang,Gold,453
Été & Soleil (500 titres),7,4,2282786,Caribbean Festival (Edit),Kool & The Gang,Gold,453
Été & Soleil (500 titres),8,2,2011435,I Won't Let the Sun Go Down on Me,Various Artists,The Best Bbq Album in the World... Ever!,204
Été & Soleil (500 titres),8,2,2184583,I Won’T Let the Sun Go Down on Me,Various Artists,The Best Bbq Album in the World… Ever!,202
Été & Soleil (500 titres),9,2,1256209,Jenny and the Summer Day,The Avett Brothers,Country Was,260
Été & Soleil (500 titres),9,2,2121583,Jenny and the Summer Day,The Avett Brothers,Country Was;The_Avett_Brothers,260
Été & Soleil (500 titres),10,2,2122648,L'amour à la plage,Niagara,Encore un dernier baiser,203
Été & Soleil (500 titres),10,2,2266558,L'amour à la plage,Niagara,Flammes,201
Été & Soleil (500 titres),11,2,2170577,Move To Memphis,a‐ha,Memorial Beach,261
Été & Soleil (500 titres),11,2,2056098,Move to Memphis,a‐ha,Memorial Beach,261
